"","Combined"
"516","NCT04434092_A Phase III, Randomized, Open-Label, Active-Controlled, Multicenter Study Evaluating the Efficacy and Safety of Crovalimab Versus Eculizumab in Patients With Paroxysmal Nocturnal Hemoglobinuria (PNH) Not Previously Treated With Complement Inhibitors._A study designed to evaluate the non-inferiority of crovalimab compared with eculizumab in participants with PNH who have not been previously treated with complement inhibitor therapy._All_N/A_N/A_Inclusion Criteria:~Body weight >= 40 kg at screening.~Willingness and ability to comply with all study visits and procedures.~Documented diagnosis of PNH, confirmed by high sensitivity flow cytometry.~LDH level >= 2x ULN at screening (as per local assessment).~Vaccination against Neisseria meningitidis serotypes A, C, W, and Y< 3 years prior to initiation of study treatment; or, if not previously done, vaccination administered no later than one week after the first drug administration.~Women of childbearing potential: agreement to remain abstinent or use contraception during the treatment period and for 10.5 months after the final dose of crovalimab or for 3 months after the final dose of eculizumab (or longer if required by the local product label).~Exclusion Criteria:~Current or previous treatment with a complement inhibitor.~History of allogeneic bone marrow transplantation.~History of Neisseria meningitidis infection within 6 months prior to screening and up to first study drug administration.~History of myelodysplastic syndrome with Revised International Prognostic Scoring System (IPSS-R) prognostic risk categories of intermediate, high and very high.~Pregnant or breastfeeding, or intending to become pregnant during the study, within 10.5 months after the final dose of crovalimab, or 3 months after the final dose of eculizumab (or longer if required by the local product label).~Participation in another interventional treatment study with an investigational agent or use of any experimental therapy within 28 days of screening or within 5 half-lives of that investigational product, whichever is greater.~Concurrent disease, treatment, procedure or surgery, or abnormality in clinical laboratory tests that could interfere with the conduct of the study, may pose any additional risk for the participant, or would, in the opinion of the Investigator, preclude the participant's safe participation in and completion of the study.~Splenectomy < 6 months before screening.~Positive for Active Hepatitis B and C infection (HBV/HCV).~History of or ongoing cryoglobulinemia at screening."
"517","NCT03128866_Reducing Blood Loss in Hemipelvectomy Surgery With the Use Tranexamic Acid (TXA)_This early phase I trial studies how well tranexamic acid works in reducing the loss of blood in patients with pelvic tumors undergoing hemipelvectomy surgery. Tranexamic acid decreases blood loss by stabilizing clots and preventing clot lysis in patients undergoing surgery._All_N/A_N/A_Inclusion Criteria:~Both pediatric and adult patients can be eligible to participate~Cognitively impaired and non-English speakers can be eligible to participate.~Both male and female patients must have a pelvic tumor and are scheduled to have surgery at University of Texas (UT) Monroe Dunaway (MD) Anderson Cancer center that require hemipelvectomy, resulting in pelvic ring disruption~Exclusion Criteria:~Patient with a history of genetic prothrombotic state~Patient with a history of thromboembolic disease to include pulmonary embolus or other extremity deep venous thrombosis~Patients with thrombosis of the planned site of resection will not be excluded if the thrombus is caused directly by tumor burden or outflow obstruction~Female patients will not be eligible for this study if she is either pregnant or nursing at the time of enrollment~Patients will not be eligible if they have a history of color vision defects~Patients will not be eligible if they have a history of retinal vein or artery occlusion~Patients will not be eligible if they have a history of intracranial hemorrhage in past 6 months~Patients will not be eligible if they have a history of hypersensitivity to tranexamic acid~Patients will not be eligible if they present with moderate to severe decrease in creatinine clearance (estimated glomerular filtration rate [eGFR] < 45 mL/min/1.73m2)~Patients will not be eligible if they present or have a history of seizure disorder"
"518","NCT02337829_A Phase II Study Using ACP-196 (Acalabrutinib) in Patients With Relapsed/Refractory and Treatment-naïve Deletion 17p CLL/SLL: Pharmacodynamic Assessment of BTK Inhibition and Antitumor Response._This study is to determine the response to acalabrutinib in patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)._All_N/A_N/A_Inclusion Criteria:~Men and women 18 years of age and older with histologically confirmed disease.~Active disease as defined by at least one of the following (IWCLL consensus criteria):~Weight loss ≥10% within the previous 6 months~Extreme fatigue~Fevers of greater than 100.5ºF for ≥2 weeks without evidence of infection~Night sweats for more than one month without evidence of infection~Evidence of progressive marrow failure as manifested by the development of, or worsening of, anemia and/or thrombocytopenia~Massive or progressive splenomegaly~Massive nodes or clusters or progressive lymphadenopathy~Progressive lymphocytosis with an increase of >50% over a 2 month period, or an anticipated doubling time of less than 6 months~Compensated autoimmune hemolysis~Relapsed/Refractory CLL or treatment naïve CLL patients with 17p deletion, TP53 mutation, or NOTCH1 mutation~Agreement to use acceptable methods of contraception during the study and for 30 days after the last dose of study drug if sexually active and able to bear or beget children.~Willing and able to participate in all required evaluations and procedures in this study protocol including swallowing capsules without difficulty and serial biopsies.~Ability to understand the purpose and risks of the study and provide signed and dated informed consent and authorization to use protected health information (in accordance with national and local subject privacy regulations).~Exclusion Criteria:~Radiotherapy, radioimmunotherapy, biological therapy, chemotherapy, or investigational products in the last 4 weeks.~Richter's transformation. Autoimmune hemolytic anemia or thrombocytopenia requiring steroid therapy. Impaired hepatic function"
"519","NCT00560508_A Double-blind, Double-dummy, Randomised, Parallel-group Study to Investigate the Safety, Tolerability, Trough Plasma Concentration, and Efficacy of Pramipexole ER Versus Pramipexole Immediate Release (IR) Administered Orally for 12 Weeks in Patients With Parkinson's Disease (PD) on L-dopa Therapy, Followed by a 52-week Open-label Long-term Treatment Period to Evaluate the Long-term Safety and Efficacy of Pramipexole ER_The objective of this trial is to investigate the safety, tolerability, trough plasma concentration, and efficacy of pramipexole ER in comparison with those of pramipexole IR administrated orally for 12 weeks in patients with PD on levodopa (L-DOPA) therapy (the double-blind period). The double-blind period will be followed by the open-label 52 week administration of pramipexole ER to evaluate the long term safety and efficacy (the open-label period)._All_1 Year_N/A_Inclusion criteria~Male or female patients with diagnosis of PD including juvenile Parkinsonism, in whom the onset began at the age of forty or younger.~Patients with a modified Hoehn and Yahr scale of II to IV at on time.~Patients who have received an individual dosage of L-DOPA (either standard L-DOPA or L-DOPA with dopa-decarboxylase inhibitor) at a stable dose for at least 4 weeks before the baseline visit (Visit 2).~Patients who exhibit any therapeutically problematic issues or status based on L-DOPA therapy:~wearing-off phenomena~no on /delayed on~dystonia at off time~on-off phenomena~freezing phenomena at off time~the sub-optimal dose of L-DOPA had been administered due to side effects (such as dyskinesia), or therapeutical strategy~Exclusion criteria~Atypical parkinsonian syndromes due to drugs, metabolic disorders, encephalitis or degenerative diseases.~Dementia, as defined by a Mini-Mental State Examination (MMSE) score <24 at screening visit.~Any psychiatric disorder according to DSM-IV criteria that could prevent compliance or completion of the trial and/or put the patient at risk if he/she takes part in the trial.~History of psychosis, except history of drug induced hallucinations (provided the investigator considers that participation in the trial would not represent a significant risk for the patient).~Clinically significant ECG abnormalities at screening visit, according to investigator's judgement.~Clinically significant hypotension or symptomatic orthostatic hypotension (i.e., clinical symptoms of orthostatic hypotension such as dizziness postural etc associated with a decline >=20 mmHg in systolic blood pressure and a decline >=10 mmHg in diastolic blood pressure, at one minute after standing compared with the previous supine systolic and diastolic blood pressure obtained after 5 minutes of quiet rest) either at screening visit or at baseline visit.~Any other clinically significant disease, whether treated or not, that could put the patient at risk or could prevent compliance or completion of the trial.~Pregnancy (to be excluded by serum pregnancy test at screening visit) or breast-feeding.~Sexually active female of childbearing potential not using a medically approved method of birth control within one month before to the screening visit and throughout the trial period.~Serum levels of AST, ALT, alkaline phosphatases or bilirubin >2 upper limits of normal .~Patients with a creatinine clearance <50 mL/min~Patients with a complication or signs of malignant tumours or those within 5 years after the treatment."
"520","NCT05654090_A Randomized, Single-dose, Two-way Crossover Study to Evaluate Bioequivalence of Two Formulations of Cefoperazone Sodium and Sulbactam Sodium Combination (1/1 g/Vial) After Intravenous Infusion of 1 g Cefoperazone Sodium and 1 g Sulbactam Sodium in Healthy Volunteers Under Fasting Conditions_A randomized, single-dose, two-way crossover study to evaluate bioequivalence of two formulations of cefoperazone sodium and sulbactam sodium combination (1/1 g/vial) after intravenous infusion of 1 g cefoperazone sodium and 1 g sulbactam sodium in healthy volunteers under fasting conditions_NA_20 Years_20 Years_Inclusion Criteria:~Healthy adult male or female subjects between 20-45 years of age (inclusive) at the screening visit.~Body mass index (BMI) between 18 and 27 kg/m2 (not inclusive) at the screening visit.~Acceptable medical history and physical examination including:~no particular clinically significant abnormalities in ECG results within six months prior to Period I dosing.~no particular clinical significance in general disease history within two months prior to Period I dosing.~Acceptable biochemistry determinations (within normal limits or considered by the investigator or physician to be of no clinical significance) within two months prior to Period I dosing, which includes AST (SGOT), ALT (SGPT), γ-GT, alkaline phosphatase, total bilirubin, albumin, glucose, BUN, uric acid, creatinine, total cholesterol and triglyceride (TG).~Acceptable hematology (within normal limits or considered by the investigator or physician to be of no clinical significance) within two months prior to Period I dosing, which includes hemoglobin, hematocrit, red blood cell count, white blood cell count with differentials and platelets.~Acceptable urinalysis (within normal limits or considered by the investigator or physician to be of no clinical significance) within two months prior to Period I dosing, which includes pH, blood, glucose, ketones, bilirubin and protein.~Female of childbearing potential practicing an acceptable method of birth control for the duration of the study.~Have signed the written informed consent to participate in the study.~Exclusion Criteria:~A clinically significant disorder involving the cardiovascular, respiratory, hepatic, renal, urinary tract, gastrointestinal, immunologic, hematologic, endocrine or neurologic system(s) or psychiatric disease.~A clinically significant illness or surgery within four weeks prior to Period I dosing.~History of gastrointestinal obstruction, inflammatory bowel disease, gallbladder disease, pancreas disorder over last two years or history of gastrointestinal tract surgery over last five years.~History of kidney disease or urination problem over last two years deemed by the investigator to be clinically significant.~Known or suspected history of drug abuse within lifetime.~History of alcohol addiction or abuse within last five years or use of more than 7 units of alcohol per week within two weeks prior to dosing. (1 unit of alcohol = 10 g of alcohol or about 350 mL of beer or about 83 mL of red wine or about 30 mL of beverage containing 40% (v/v) alcohol).~History of allergic response(s) to palonosetron or any other related drugs.~Evidence of chronic or acute infectious diseases.~Positive result for serum hepatitis B surface antigen (HBsAg), hepatitis C antibody (HCVAb), or human immunodeficiency virus (HIV).~Female subjects demonstrating a positive pregnancy screen prior to the study.~Female subjects who are currently breastfeeding.~Taking any drug known to induce or inhibit hepatic drug metabolism within four weeks prior to Period I dosing. Examples of inducers include: piperidines, carbamazepine, dexamethasone and rifampin. Examples of inhibitors include: cimetidine, diphenhydramine, fluvastatin, methadone and ranitidine.~Taking any prescription medications within four weeks or any nonprescription medications (excluding flu vaccination) within two weeks prior to Period I dosing.~Use of any investigational drug within four weeks prior to Period I dosing.~Use of any COVID-19 vaccine within seven days prior to Period I dosing.~Donating more than 250 mL of blood within two months prior to Period I dosing or donating plasma (e.g. plasmapheresis) within two weeks prior to Period I dosing.~Any other medical reason as determined by the investigator."
"521","NCT05567796_Efficacy and Safety of Cagrilintide s.c. 2.4 Milligram (mg) in Combination With Semaglutide Subcutaneous (s.c). 2.4 mg (CagriSema s.c. 2.4 mg/2.4 mg) Once-weekly in Participants With Overweight or Obesity_This study has 2 parts: First part is the main study and second part is the extension study. During the main study participants will receive 1 of 4 study medicines. If participants continue in the extension study, they will not receive any study medicine during the extension. The main study will look at how well CagriSema helps participants with excess body weight lose weight compared to a dummy medicine and 2 other medicines, cagrilintide and semaglutide. Participants will either get CagriSema, cagrilintide,semaglutide or dummy medicine. Which treatment participants get is decided by chance. They will take one injection once a week. The study medicine is injected briefly with a thin needle, typically in the stomach, thighs or upper arms.~Extension study: After the main study, not all participants will continue in the extension study. The study staff will tell the participant if they will continue or not into the extension study. In the extension study we will look at what happens to the participant's body weight and diseases related to excess body weight after the participant stops taking the study medicine. The main study will last for about 1½ years and the extension study will last for another 2 years._All_N/A_N/A_Inclusion Criteria:~Male or female~Age above or equal to 18 years at the time of signing informed consent~Body mass index (BMI) greater than or equal to 30.0 kilograms per square meter (kg/m^2) or b) BMI greater than or equal to 27.0 kg/m^2 with the presence of at least one weight-related comorbidity including, but not limited to hypertension, dyslipidaemia, obstructive sleep apnoea or cardiovascular disease~Exclusion Criteria:~- Glycaemia related: a) Glycated Haemoglobin (HbA1c) greater than or equal to 6.5 percent (48 millimoles per mole [mmol/mol]) as measured by the central laboratory at screening b) History of type 1 or type 2 diabetes mellitus"
"522","NCT00186901_Diminished Bone Mineral Density in Survivors of Childhood Acute Lymphoblastic Leukemia (ALL): A Severity-Adapted Clinical Trial_Research studies have shown that children who are long-term survivors of childhood leukemia may be at greater risk for early bone loss called osteoporosis. This bone loss may lead to a greater risk of broken bones and other spine and bone problems. However, researchers still do not know much about how frequently this long-term side effect may occur and how severe the problem is.~St. Jude Children's Research Hospital researchers want to determine the frequency and severity of this side effect. They are also studying whether taking calcium and Vitamin D supplements can help children at risk for osteoporosis and if certain factors can be identified -- such as age at diagnosis, cancer treatments, or family history -- that may increase the chances of having osteoporosis. Researchers will take an x-ray study called quantitative computed tomography (QCT) to measure bone mineral density (BMD). The BMD is a measure of bone strength. If a subject's BMD falls below the average, he/she will be assigned to one of two groups. Subjects will be randomly assigned (like tossing a coin) to receive calcium and vitamin D pills. The other half will receive placebo pills that look like the calcium and vitamin D pills._All_N/A_N/A_Inclusion Criteria:~Patient is a survivor of acute lymphoblastic leukemia.~Patient was treated on St. Jude Children's Research Hospital's Total XI, XII, or XIII treatment protocol.~Patient is at least five years out from completion of therapy and is in first remission~Exclusion Criteria:~Active disease~Pregnant or lactating females~Inability to chew and swallow pills~Currently taking more than 800 mg supplemental calcium or 800 IU vitamin D~Anemia"
"523","NCT02518594_A Randomized Trial of Pessary and Progesterone for Preterm Prevention in Twin Gestation With a Short Cervix_This protocol outlines a randomized trial of 630 women evaluating the use of micronized vaginal progesterone or pessary versus control (placebo) to prevent early preterm birth in women carrying twins and with a cervical length of less than 30 millimeters._Female_N/A_N/A_Inclusion Criteria:~Twin gestation with cardiac activity in both fetuses. Higher order multifetal gestations reduced to twins, either spontaneously or therapeutically, are not eligible unless the reduction occurred by 13 weeks 6 days project gestational age.~Gestational age at randomization between 16 weeks 0 days and 23 weeks 6 days based on clinical information and evaluation of the earliest ultrasound.~Cervical length on transvaginal examination of less than 30 mm by a study certified sonographer.~Exclusion Criteria:~Cervical dilation (internal os) 3 cm or greater on digital examination or evidence of prolapsed membranes beyond the external cervical os either at the time of the qualifying cervical ultrasound examination or at a cervical exam immediately before randomization. There is no lower threshold of cervical length measurement threshold on ultrasound that is an exclusion criterion.~Monoamniotic gestation, due to increased risk of adverse pregnancy outcome~Twin-twin transfusion syndrome, due to increased risk of adverse pregnancy outcome~Evidence of severe IUGR (intrauterine growth restriction) (<5th percentile for gestational age) in either fetus~Fetal anomaly in either twin or imminent fetal demise. This includes lethal anomalies, or anomalies that may lead to early delivery or increased risk of neonatal death e.g., gastroschisis, spina bifida, serious karyotypic abnormalities). An ultrasound examination from 14 weeks 0 days to 23 weeks 6 days by project EDC (estimated date of conception) must be performed prior to randomization to evaluate the fetuses for anomalies.~Placenta previa, because of risk of bleeding and high potential for indicated preterm birth~Active vaginal bleeding greater than spotting at the time of randomization, because of potential exacerbation due to pessary placement.~Symptomatic, untreated vaginal or cervical infection, also because of potential exacerbation due to pessary placement. Patients may be treated and if subsequently asymptomatic, randomized.~Active, unhealed herpetic lesion on labia minora, vagina, or cervix due to the potential for significant patient discomfort or increasing genital tract viral spread. Once lesion(s) heal and the patient is asymptomatic, she may be randomized. History of herpes is not an exclusion.~Rupture of membranes due to likelihood of pregnancy loss and preterm delivery as well as the risk of ascending infection which could be increased with pessary placement~More than six contractions per hour reported or documented prior to randomization. It is not necessary to place the patient on a tocodynamometer~Known major Mullerian anomaly of the uterus (specifically bicornuate, unicornuate, or uterine septum not resected) due to increased risk of preterm delivery which is unlikely to be affected by progesterone~Any fetal/maternal condition which would require invasive in-utero assessment or treatment, for example significant red cell antigen sensitization or neonatal alloimmune thrombocytopenia~Major maternal medical illness associated with increased risk for adverse pregnancy outcome or indicated preterm birth (treated hypertension requiring more than one agent, pre-gestational treatment for diabetes prior to pregnancy, chronic renal insufficiency failure defined by creatinine >1.4 mg/dL, carcinoma of the breast, conditions treated with chronic oral glucocorticoid therapy. Specifically, patients with seizure disorders, HIV, and other medical conditions not specifically associated with an increased risk of indicated preterm birth are not excluded. Prior cervical cone/LOOP/LEEP is not an exclusion criterion.~Planned cerclage or cerclage already in place since it would preclude placement of a pessary~Planned indicated delivery prior to 35 weeks~Planned or actual progesterone treatment of any type or form after 15 weeks 6 days during the current pregnancy~Allergy to progesterone, silicone, or excipients in the study drug, including peanuts or peanut oil in the study drug or placebo~Known, suspected or history of breast cancer because breast cancer is a contraindication to the active study medication.~Known liver dysfunction or disease because liver disease is a contraindication to the active study medication.~Participation in another interventional study that influences gestational age at delivery or neonatal morbidity or mortality~Participation in this trial in a previous pregnancy. Patients who were screened in a previous pregnancy, but not randomized, do not have to be excluded.~Prenatal care or delivery planned elsewhere unless the study visits can be made as scheduled and complete outcome information can be obtained"
"524","NCT00011986_A Phase III Randomized Trial Of Paclitaxel And Carboplatin Versus Triplet Or Sequential Doublet Combinations In Patients With Epithelial Ovarian Or Primary Peritoneal Carcinoma_Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known which combination chemotherapy regimen is most effective in treating ovarian epithelial cancer and peritoneal cancer. Randomized phase III trial to compare the effectiveness of various combination chemotherapy regimens in treating patients who have stage III or stage IV ovarian cancer or primary peritoneal cancer._Female_N/A_N/A_Inclusion Criteria:~Histologically confirmed stage III or IV ovarian epithelial or serous primaryperitoneal carcinoma~The following are ineligible:~Germ cell tumors~Sex cord-stromal tumors~Carcinosarcomas~Mixed Mullerian tumors or carcinosarcomas~Metastatic carcinomas from other sites to theovary~Low malignant potential tumors, including micropapillary serouscarcinomas~Mucinous primary peritoneal carcinoma~Prior ovarian low malignant potential tumor (borderline carcinoma) that was surgically resected with subsequent development of invasive adenocarcinoma allowed if no prior chemotherapy~Optimal (no greater than 1 cm) or suboptimal residual disease after initial surgery~Prior breast cancer allowed provided the following are true:~Disease-free for more than 5 years~No prior cytotoxic chemotherapy for breast cancer~Prior or concurrent primary endometrial cancer allowed if the following conditions are met:~Stage no greater than IB~Less than 3 mm invasion without vascular or lymphatic invasion~No poorly differentiated subtypes, including papillary serous, clear cell, or other FIGO grade 3 lesions~Performance status - GOG 0-2~Absolute neutrophil count at least 1,500/mm^3~Platelet count at least 100,000/mm^3~Bilirubin no greater than 1.5 times upper limit of normal (ULN)~AST no greater than 2.5 times ULN~Alkaline phosphatase no greater than 2.5 times ULN~No acute hepatitis~Creatinine no greater than 1.5 times ULN~No unstable angina~No myocardial infarction within the past 6 months~No evidence of abnormal cardiac conduction (e.g., bundle branch block, heart block) unless stable for the past 6 months~Not pregnant or nursing~Fertile patients must use effective contraception~No greater than grade 1 sensory or motor neuropathy~No active infection that requires antibiotics~No other invasive malignancy within the past 5 years except nonmelanoma skin cancer~No severe or ongoing gastrointestinal bleeding that requires blood product support~See Disease Characteristics~Prior chemotherapy for cancer involving the abdominal cavity or pelvis allowed provided the following are true:~More than 3 years since prior therapy~No evidence of recurrent disease~No prior radiotherapy to any portion of the abdominal cavity or pelvis~Prior radiotherapy for localized breast, head and neck, or skin cancer allowed provided the following are true:~More than 3 years since prior therapy~No evidence of recurrent disease~See Disease Characteristics~No more than 12 weeks since prior surgical resection"
"525","NCT02094560_Phase II Trial of CAP7.1 in Adult Patients With Refractory Malignancies: Small Cell Lung Carcinoma, Non-Small Cell Lung Carcinoma, Biliary Carcinoma (PIITCAP)_To assess the anti-tumor activity of CAP7.1 based on the observed objective response rate and rate of disease stabilization, as defined by the below primary and secondary endpoints, in patients with Non-Small Cell Lung Carcinoma (NSCLC), SCLC or biliary cancer who have progressed despite one or more previous chemotherapy line._All_N/A_N/A_Inclusion Criteria:~Histologically- or cytologically-confirmed, advanced disease with documented progression (RECIST1.1.) after one or several chemotherapy line~Patients may also have received molecular targeted therapy and progressed while on therapy or after completion~Must have recovered from the acute reversible effects of previous anti-cancer chemotherapy, usually 3-4 weeks after myelosuppressive chemotherapy~Exclusion Criteria:~Serious concurrent medical condition, which could affect compliance with the protocol or interpretation of results.~Patients with uncontrolled infection and patients known to be infected with the human immunodeficiency virus (HIV) or hepatitis infection are not eligible for the study~Pregnancy or breast-feeding"
"526","NCT04639674_Prospective Randomized Study Evaluating the Efficacy of the Spherical Absorptive Carbon AST-120 in Hemodialysis Patients With Uremic Pruritus.._The prevalence of cutaneous pruritus among hemodialysis patients is about 50% to 80%. There is only a handful of studies on the itchy skin of hemodialysis patients and the findings are to be validated. Effective drugs to treat cutaneous pruritus are not available yet. Hence, the purpose of the study is to eliminate the uremic toxins from the intestinal tract using AST-120 as a treatment measure to improve the symptom of the hemodialysis patients' cutaneous pruritus and discuss and assess its effectiveness. For this, the investigators will recruit 150 patients to validate the application potential of the AST-120 in the cutaneous pruritus brought about by uremia._All_N/A_N/A_Inclusion Criteria:~Age of the subject: Over 20 (incl.) to less than 100~The patient must have undergone regular hemodialysis (excluding Hemodiafiltration or HDF) three times a week for at least six consecutive months and the Kt/V value, an indicator of the hemodialysis efficiency measured by urea nitrogen reduction ratio, must be greater than 1.2.~The patient must have taken drugs for the treatment of the cutaneous pruritus within the past six months and the effectiveness is not significant.~The patient must have not used AST-120 within the past three months.~The average VAS (Visual Analogue Scale) score of three itchy skin assessments during the screening period must be greater than or equal to 4 (VAS≧4).~Stable hemodialysis fistulas (both Arteriovenous Fistula, Arteriovenous Graft) must be available.~The patient must cooperate in the implementation of the investigational drug administration plan.~The patient must be able to sign the Informed consent form correctly.~The patient must be able to communicate with the researchers and understand the details of the study project.~All the drugs that the patient has taken must be traceable to a prescription.~Exclusion Criteria:~A physician has advised the patient not to take AST-120.~The patient suffers from poorly controlled high blood pressure, liver disease (higher than the liver function index ALanine aminoTransferase by 2.5 times or more), cholestasis, heart disease (congestive heart failure, coronary heart disease, ischemic heart disease), brain stroke, malignant tumor, acute inflammation, acute infection, or active lung disease.~The patient suffers from any skin disease not attributable to uremic toxins, including allergic or mycotic dermatitis. (If necessary, visit a dermatologist for diagnosis.)~The serum calcium level is higher than 10.5 mg/dl, serum phosphorus level is higher than 6.5 mg/dl, hemochrome level less than 9.0 g/dl, or serum parathyroid hormone level higher than 600 pg/ml.~The patient is pregnant or nurses a baby.~The formula of the drug for cutaneous pruritus has been changed 2 weeks before the screening.~The skin has undergone UV irradiation or acupuncture therapy 6 weeks before the screening.~Excessive alcohol or drug abuse has occurred 12 weeks before the screening.~The patient has participated in an interventional clinical trial 2 months before the screening.~The patient of the clinical trial may not accept any antibiotic treatment during the screening and trial period (because antibiotics will affect the concentration of the uremic toxins).~The patient suffers from digestive tract motility disorder and peptic ulcer disease or esophageal varices."
"527","NCT02959476_A Double Blind, Multi-center, Randomized, Placebo-Controlled, Parallel Group, Phase 3 Study to Evaluate the Efficacy and Safety of Ropivacaine 0.2% Pre-Filled Dispenser for the Treatment of Postsurgical Pain in Patients Undergoing Cesarean Delivery_This study evaluates a Ropivacaine 0.2% Pre-Filled Dispenser in the treatment of post-surgical pain in patients undergoing Cesarean delivery. Half of the patients will receive Ropivicaine and half will receive placebo._Female_N/A_N/A_Inclusion Criteria:~Complete the informed consent process as documented by a signed informed consent form (ICF).~Be in generally good health and classified as either PS-1 or PS-2 by the American Society of Anesthetists (ASA) Physical Status Classification System.~Have a single birth pregnancy. Can be parous or nulliparous.~Be scheduled for a Cesarean Delivery~Subjects undergoing emergency Cesarean Delivery will not be eligible for participation in this study.~In the event a subject signs the ICF (but has not been randomized), has a C section planned and then has an emergency C section delivery, this subject will be considered a screen failure.~In the unlikely event a subject signs the ICF and is randomized into the study, has a C section planned and then has an emergency C section delivery, this subject will continue in the study as planned.~Be willing to complete the pain assessments according to the protocol and return to clinic as scheduled, as needed.~Exclusion Criteria:~Have an uncontrolled medical condition, serious intercurrent illness, clinically significant general health condition, or extenuating circumstance that may significantly decrease study compliance or otherwise preclude their participation in the study.~Have a clinically significant abnormal electrocardiogram (ECG) at screening as determined by the Investigator.~Have a history of any medical condition or surgical procedure that would alter the absorption, distribution, metabolism, or excretion of ropivacaine.~Have, in the opinion of the investigator, a clinically significant abnormality in their clinical laboratory values (urinalysis, hematology and chemistry) at screening.~Have made a donation (standard donation amount or more) of blood or blood products (with the exception of plasma as noted below) within 56 days prior to Day 1.~Weigh greater than 100 kg (220 lbs).~Have made a plasma donation within 7 days prior to Day -1.~Have a known allergy or hypersensitivity to anesthetics (eg. Ropivacaine), acetaminophen, or non-steroidal anti inflammatory drugs (NSAIDs, eg, ibuprofen or naproxen, ketorolac).~Not be able or willing to discontinue the prohibited medications listed below within the allotted time before surgery and throughout the duration of their participation in the study.~monoamine oxidase inhibitors (MAOIs) within the past 30 days~anticonvulsants, tricyclic antidepressants (TCAs), neuroleptics, serotonin-norepinephrine reuptake inhibitors (SNRIs), as well as selective serotonin reuptake inhibitors (SSRIs) (unless SSRIs have been prescribed for depression and/or anxiety and subjects have been on a stable dose for at least 30 days prior to the screening visit);~Corticosteroids: Oral and injectable corticosteroids must be discontinued 3 months prior to surgery; nasal, inhaled and topical corticosteroids will be allowed;~Use concurrent therapy that could interfere with the evaluation of efficacy or safety parameters in the opinion of the investigator (eg, any drugs, in the investigator's opinion, that may exert significant analgesic properties), except for rescue medications.~Have a history of seizures or history of serious head injury.~Must not be a member of a vulnerable population as defined by the Code of Federal Regulations Title 45, Part 46, Delivery 46.111(b), including but not limited to employees (temporary, part-time, full-time, etc.) or a family member of the research staff conducting the study, or of the Sponsor, or of the Clinical Research Organization.~Have previously participated in a clinical trial using ropivacaine.~Have a history of major mental illness that in the opinion of the Investigator may affect the ability of the subject to participate in the study. Institutionalized subjects will not be eligible for participation."
"528","NCT00656448_Randomized Study of Procrit vs no Procrit in Patients With Newly Diagnosed Acute Myelogenous Leukemia (AML) or High-risk Myelodysplastic Syndrome (MDS) Undergoing Frontline Myelosuppressive Induction/Consolidation Chemotherapy_The goal of this clinical research study is to find out if Procrit (epoetin alfa) will help decrease the need for blood transfusions in patients who have Acute Myelogenous Leukemia (AML) or High-risk Myelodysplastic Syndrome (MDS) and are receiving chemotherapy. Researchers also want to learn about the remission rates (rates of recovery) in patients with cancer who have received treatment with epoetin alfa. The safety and effectiveness of this therapy will also be studied._All_N/A_N/A_Inclusion Criteria:~Patients with a diagnosis of AML or high-risk MDS (based on International Prognostic Scoring System (IPSS): refractory anemia with excess of blasts (RAEB) or RAEB in transformation [RAEB-t]) receiving frontline induction chemotherapy with any high dose or conventional dose cytarabine-containing regimen or clofarabine-containing regimen at MD Anderson Cancer Center.~Patients must be enrolled on the study within two weeks of the start of induction chemotherapy.~Patients with documented iron, vitamin B12, or folate deficiency are eligible, but should receive replacement therapy while on study.~Understand and voluntarily sign an informed consent form.~Exclusion Criteria:~Patients with prior treatment with any form of erythropoietin within the previous month.~Patients with uncontrolled hypertension (> or =140/90), uncontrolled, clinically significant cardiac arrhythmias, or history of pulmonary embolism or thrombosis within the last 5 years.~New onset (within 3 months prior to randomization) or poorly controlled seizures.~Patients with known hypersensitivity to the active substance or any of the excipients.~Pregnant or lactating women.~Acute Erythroleukemia (M6 French-American-British (FAB) classification)~Hemoglobin greater than or equal to 10g/dl~Patients with head and neck cancer receiving radiation therapy when erythropoiesis-stimulating agents (ESAs) were given to maintain hemoglobin levels of more than 12 g/dL.~Patients with metastatic breast cancer receiving chemotherapy when ESAs were given to maintain hemoglobin levels of more than 12 g/dL.~Patients with chronic kidney failure when ESAs were given to maintain hemoglobin levels of more than 12 g/dL.~Patients requiring major surgery would be taken off study due to a higher chance of blood clots being reported while taking ESAs."
