"","nct_id","official_title","summary","criteria","C_section_pain","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"41","NCT03261193","QL Block for Post-cesarean Delivery Pain","Comparison of standard post-operative cesarean surgery pain management with regional post-op pain control.","Inclusion Criteria:~Elective cesarean planned under spinal anesthesia~Singleton pregnancy~American Society of Anesthesiologists (ASA) classification score of 2 (or less)~Gestational age of at least 37 weeks~Intention to breastfeed infant~Exclusion Criteria:~Contraindications to neuraxial blockade (such as clinically relevant coagulopathy, recent anticoagulant use, patient refusal, or localized skin infection overlying the site of needle entry)~Anatomical abnormalities contraindicating spinal or QLB placement~Received/Conversion to general anesthesia~Received supplemental parenteral anesthesia (sedation) for any reason (e.g. unanticipated prolonged surgical procedure)~History of chronic pain~History of chronic opioid use/abuse~History of Subutex, methadone, other maintenance therapy",1,"Postpartum intervention","Comparison of standard post-operative cesarean surgery pain management with regional post-op pain control.",1,1,"Comparison of standard post-operative cesarean surgery pain management with regional post-op pain control."
"42","NCT03383588","Efficacy of Subcutaneous Infiltration With Local Anesthetic During Elective Cesarean Delivery for Postoperative Pain Control: a Randomized Controlled Trial","The purpose of this study is to determine if giving an injection of numbing medication at the incision at the end of cesarean will help control pain AFTER cesarean delivery. This study seeks to assess pain relief with incisional infiltration of local anesthetic during cesareans performed under spinal anesthesia also using intrathecal opioids. Participants will receive the usual regimen of pain medication in spinal anesthesia. At the end of the cesarean delivery, while the participants are still under the spinal medication, participants will receive an injection, at the incision, either numbing medication (with or without epinephrine) or sterile saline. After the cesarean delivery, participants will receive, by mouth, commonly prescribed pain medications - these medications are oxycodone (an opioid/ narcotic), acetaminophen (or more commonly known as Tylenol), and ibuprofen.","Inclusion criteria:~elective cesarean delivery~planned spinal anesthesia~Exclusion criteria:~Non-English speaking~Urgent or emergent cesarean delivery~Active labor [defined as: >4cm cervical dilation or regular contractions noted on tocometer (>2 contractions in a 10 minute period for 30 consecutive minutes)]~Chronic antepartum opioid use~History of substance abuse (alcohol or drug)~Current tobacco use~Chronic steroid use",1,"Postpartum intervention","The purpose of this study is to determine if giving an injection of numbing medication at the incision at the end of cesarean will help control pain AFTER cesarean delivery.",0,0,"The purpose of this study is to determine if giving an injection of numbing medication at the incision at the end of cesarean will help control pain AFTER cesarean delivery."
"43","NCT04296396","Prescription After Cesarean Trial","Non-inferiority randomized trial of 5,500 women with a cesarean delivery randomized prior to discharge to either an individualized opioid prescription protocol (IOPP) that includes shared decision making or to a fixed opioid prescription of 20 tablets of oxycodone 5mg.","Inclusion Criteria:~Post cesarean delivery (combined vaginal/cesarean deliveries are not eligible)~Singleton, twin or triplet gestation~Exclusion Criteria:~An opioid prescription filled during the current pregnancy~Known history of opioid use disorder, by medical record review~Contraindication to opioids (oxycodone)~Contraindications to both acetaminophen and ibuprofen~Significant surgical procedures (e.g., hysterectomy) prior to randomization as pain trajectory will be completely different~Fetal or neonatal death prior to randomization~Inability to randomize within 1 day before planned discharge from the hospital~Inability to participate in shared decision making as assessed by research staff~Language barrier (non-English or Spanish speaking)~Participation in this trial in a previous pregnancy~Participation in another intervention study that influences the primary outcome in this trial",1,"Enrolls postpartum","Inclusion Criteria: Post cesarean delivery",1,1,"Non-inferiority randomized trial of 5,500 women with a cesarean delivery randomized prior to discharge to either an individualized opioid prescription protocol (IOPP) that includes shared decision making or to a fixed opioid prescription of 20 tablets of oxycodone 5mg."
"44","NCT04393207","Transverse Abdominis Plane Block Using Liposomal Bupivacaine for Post-operative Cesarean Delivery Analgesia- Walking Towards Recovery","The TAP block offers analgesia by blocking the sensory nerves of the anterior abdominal wall. The procedure is performed under ultrasound guidance, after identification of the external oblique, internal oblique and transverse abdominis muscle. Medication is injected in the neurofascial plane between the internal oblique and the tranversus abdominis muscle.~Previous studies have demonstrated limited (<24 hour) effect of the block when compared to the use of intrathecal morphine (considered to be the gold standard for postoperative analgesia). In a study by McMarrow et al., post-caesarian pain control combinations including TAP blocks with local anesthetic (Bupivacaine) or saline after a spinal anesthetic with or without intrathecal morphine were compared.~At 6 hours the Morphine consumption was slightly reduced in the patients that received both intrathecal morphine and TAP blocks with LA when compared to patients that received spinal saline and TAP with saline. At 24 hours the TAP block conferred no benefit in terms of opioid consumption. Similarly, the study by Lee et al. demonstrated better pain scores for the first 2 hours in patients receiving both intrathecal morphine and a TAP block with ropivacaine. At 24 hours there was no difference in the pain scores for patients that received both intrathecal morphine and TAP blocks.~On the contrary, a more recent study utilizing liposomal bupivacaine has been utilized for TAP blocks for post cesarean delivery analgesia, demonstrating opioid reductions for up to 72 hours. Liposomal bupivacaine is a novel, multivesicular formulation designed for rapid absorption, prolonged release of bupivacaine, and analgesia following a single intra-operative administration into the surgical wound or for TAP blocks.~Current anesthesia practices encourage the use of multimodal analgesia that aim at enhanced recovery after surgery (ERAS). The ERAS model aims to decrease immobility, pain and post-operative ileus. Pain and immobility may be closely related, and the latter has rarely been monitored in the post-operative setting. It is planned to use a research validated fit-bit like device (Actigraph GT3-X) to monitor patient steps (mobility).","Inclusion Criteria:~Patients between the ages of 18 and 45 presenting for cesarean delivery~ASA-1, ASA-2, ASA-3~No allergy to morphine~No allergy to bupivacaine~Patients with BMI > 45 will be excluded~No history of anxiety~No recent or chronic opioid use~Exclusion Criteria:~Need for Magnesium sulfate therapy~Neonatal admission to neonatal intensive care unit~Need for additional surgery other than cesarean delivery +/- bilateral tubal ligation (e.g. hysterectomy, cystotomy)",1,"Postpartum intervention","The trial evaluates a treatment (TAP block with liposomal bupivacaine) for post-operative analgesia, which is administered after delivery.",1,1,"The TAP block offers analgesia by blocking the sensory nerves of the anterior abdominal wall. The procedure is performed under ultrasound guidance... post-caesarian pain control combinations including TAP blocks with local anesthetic (Bupivacaine)... Liposomal bupivacaine has been utilized for TAP blocks for post cesarean delivery analgesia, demonstrating opioid reductions for up to 72 hours."
"45","NCT03695172","Comparison of TAP, Anterior QL, or ESP Block for Elective Cesarean Section","The purpose of this prospective single center, randomized study is to determine if ultrasound guided Transversus Abdominis Plane (TAP), Quadratus Lumborum (QL), and Erector Spinae Plane (ESP) blocks decrease opioid consumption in subjects undergoing elective cesarean section.","Inclusion Criteria:~American Society of Anesthesiologists (ASA) Physical Status 1-3~Age greater than or equal to 18 years~Scheduled for elective cesarean section~English speaking~Exclusion Criteria:~ASA Physical Status 4-5~Diagnosis of chronic pain~Chronic opioid use (opioid use in the past 3 months)~Preoperative use of SSRIs (Celexa, Lexapro, Prozac, Paxil), SNRIs (Cymbalta, Effexor), gabapentin, or pregabalin (Lyrica)~Inability to cooperate with or understand protocol~Inability to communicate pain scores or need for analgesia~Infection at the site of block placement~Intolerance or allergy to local anesthetics~Neurologic deficit or disorder~Blood thinning disorder or taking anticoagulant medication~BMI > 50 kg/m2~Suspected or known addiction to or abuse of illicit drug(s), prescription medicine(s), or alcohol within the past 2 years~Uncontrolled anxiety, schizophrenia, or other psychiatric disorder that, in the opinion of the investigator, may interfere with study assessments or compliance~Current or historical evidence of any clinically significant disease or condition that, in the opinion of the investigator, may increase the risk of surgery or complicate the subject's postoperative course",1,"Neither","0",0,0,"The purpose of this prospective single center, randomized study is to determine if ultrasound guided Transversus Abdominis Plane (TAP), Quadratus Lumborum (QL), and Erector Spinae Plane (ESP) blocks decrease opioid consumption in subjects undergoing elective cesarean section."
"46","NCT02579629","Multimodal Post-Cesarean Analgesia With Spinal Morphine and Continuous Wound Infiltration of Ropivacaine Using the OnQ® Elastomeric Pump: A Dose-Ranging Study Using a High-Volume, Low-Dose Protocol","The main purpose of this study is to examine if pain levels treated with intrathecal (IT) preservative-free morphine (PFM) after a cesarean section improve with the additional use of continuous subfascial wound infiltration with ropivacaine using the OnQ® elastomeric pump system.","Inclusion Criteria:~Female patients at Emory University Hospital Midtown undergoing non-emergent, scheduled or unscheduled first, second or third Cesarean sections~Patients who are American Society of Anesthesiology (ASA) Class I-III~Patients are at least 34 weeks pregnant~Patients to receive spinal anesthesia for their procedure~Patients who are 18 years of age or older~Patient willing and able to provide written informed consent~Exclusion Criteria:~Patients with 3 or more prior Cesarean sections~Patients undergoing emergent cesarean section with or without general anesthesia~Patients with known allergy to morphine, ketorolac, and/or amide local anesthetics~Patients who will not receive spinal anesthesia~Patients who are less than 34 weeks pregnant~Patients with significant maternal cardiac, liver or renal disease~Patients with maternal history of narcotic abuse or dependency~Patient with pre-operative fever (>100.4 degrees F)~Patients less than 18 years old",1,"Postpartum intervention","The main purpose of this study is to examine if pain levels treated with intrathecal (IT) preservative-free morphine (PFM) after a cesarean section improve with the additional use of continuous subfascial wound infiltration with ropivacaine using the OnQ® elastomeric pump system.",0,1,"pain levels treated with intrathecal (IT) preservative-free morphine (PFM) after a cesarean section"
"47","NCT02369510","Does the Addition of Epinephrine Increase the Duration of Intrathecal Hyperbaric Bupivacaine for Repeat Cesarean Section?","The purpose of this study is to investigate whether the addition of a medication called epinephrine to spinal medications prolongs the duration of the anesthesia. The medication standardly used in spinal anesthesia is a local anesthetic (bupivacaine) and an opiate pain medication (morphine). These medications typically last about 2 hours. The investigators want to determine if adding epinephrine to the spinal medications prolongs the anesthetic without side effects. A longer duration of anesthesia may be useful in prolonged repeat cesarean section. Epinephrine is known to prolong the action of some local anesthetics, but the investigators want to specifically study combining it with the medications the investigators use regularly for cesarean section.~You may qualify to take part in this research study because you are having a repeat cesarean section. Repeat cesarean sections sometimes last longer than 2 hours. The investigators want to determine if epinephrine will prolong the anesthetic.","Inclusion Criteria:~Non-emergent repeat cesarean section~Neuraxial anesthesia as the planned primary anesthetic~Informed consent obtained~Females age 18-50~Exclusion Criteria:~Emergency cesarean section~Anesthetic other than neuraxial~Allergy to local anesthetics, morphine, or epinephrine~Pre-existing sensory/motor deficit",1,"Neither","0",0,0,"The purpose of this study is to investigate whether the addition of a medication called epinephrine to spinal medications prolongs the duration of the anesthesia. The medication standardly used in spinal anesthesia is a local anesthetic (bupivacaine) and an opiate pain medication (morphine)."
"48","NCT00298571",NA,"The use of .5% Bupivacaine with epinephrine at the time of skin closure in cesarean deliveries will decrease post-op pain.","Inclusion Criteria:~Pregnant Women with scheduled cesarean delivery~able to perform informed consent~Exclusion Criteria:~Labor~chronic pain~allergic to local anesthetic~unable to perform informed consent",1,"Neither","0",0,0,"The use of .5% Bupivacaine with epinephrine at the time of skin closure in cesarean deliveries will decrease post-op pain."
"49","NCT02143141","Eliminating Long Acting Spinal Narcotic Use and Its Associated Side Effects for Those Who do Not Need it After Cesarean Delivery","The investigators are attempting to see if eliminating the amount of long acting spinal narcotic during cesarean section delivery will demonstrate pain scores with movement when evaluated 24 hours postoperatively as those that receive the standard dosage of spinal narcotic when combined with oral acetaminophen or placebo. The investigators also are evaluating if there are decreased side effects related to decreased narcotic usage.","Inclusion Criteria:~anticipated pain level estimated to be in the lowest 20th percentile (calculated <34.3 utilizing our standard preoperative questionnaire)~age >/= 18~not allergic to any study medications to be utilized in this study~singleton pregnancy~Exclusion Criteria:~allergies to morphine or acetaminophen~diagnosis of a chronic pain disorder~weight >300 lbs~hepatic disease",1,"Postpartum intervention","The investigators are attempting to see if eliminating the amount of long acting spinal narcotic during cesarean section delivery will demonstrate pain scores with movement when evaluated 24 hours postoperatively as those that receive the standard dosage of spinal narcotic when combined with oral acetaminophen or placebo.",0,0,"eliminating the amount of long acting spinal narcotic during cesarean section delivery"
"50","NCT04443569","Lidocaine Patches After Cesarean Section","The aim of this study is to investigate the impact of using lidocaine patches after cesarean section on pain control and opioid use in the immediate post-operative period. The hypothesis is the use of lidocaine patches in the immediate post-operative period will lead to a decrease in the use of opioids as pain control compared to patients that do not have a lidocaine patch in place. Additionally, the a decrease in the visual analog pain score compared to women who do not use a lidocaine patch in the immediate post-operative period following cesarean delivery is anticipated.","Inclusion Criteria:~Female~Primary or secondary cesarean delivery~Able to consent to research study~Exclusion Criteria:~3 or more prior cesarean deliveries~History of abdominoplasty~History of abdominal hernia repair with mesh~Allergy to lidocaine~Allergy to adhesives in medical tape~Women who received general anesthesia for their cesarean delivery~Women with active substance abuse~Women methadone or suboxone for a history of opiate abuse",1,"Enrolls postpartum","The aim of this study is to investigate the impact of using lidocaine patches after cesarean section on pain control and opioid use in the immediate post-operative period.",1,1,"The aim of this study is to investigate the impact of using lidocaine patches after cesarean section on pain control and opioid use in the immediate post-operative period."
"51","NCT03414359","A Randomized, Double-blind Study Comparing 3% Chloroprocaine Versus 2 % Lidocaine/ Epinephrine/ Bicarbonate/ Fentanyl for Epidural Anesthesia in Elective Cesarean Delivery","Regional anesthesia is commonly used for elective and emergency cesarean delivery. It provides numerous safety advantages when compared to general anesthesia for both the mother and fetus1. Epidurals also have the added benefit of being able to provide pain relief throughout labor and in the event of cesarean delivery, epidural analgesia can be extended to provide surgical anesthesia. Numerous studies have been performed to assess the onset times of various local anesthetics when administered through an epidural catheter. Attempts to reduce anesthetic onset time and improve the quality of intraoperative analgesia have been attempted by using different local anesthetic solutions and by the addition of other drugs to the epidural solution (such as epinephrine, fentanyl and sodium bicarbonate).","Inclusion Criteria:~≥ 18 years of age for the mother~Singleton pregnancy~Gestation > 36 weeks~American Society of Anesthesiologist (ASA) class II~Provides written consent~Infant of mother~Exclusion Criteria:~Patient refusal~Non-elective or urgent/emergent cesarean sections~ASA class III or above~Unable to understand English~Significant back surgery or scoliosis~Known fetal abnormality~Weight > 120 kg~Height < 150 cm~Allergy to local anesthetics~Concurrent use of sulfonamides",1,"Neither","0",0,0,"epidural analgesia can be extended to provide surgical anesthesia"
"52","NCT04232306","The Effect of Liposomal Bupivacaine Plus Bupivacaine Versus Bupivacaine Alone on Postoperative Opioid Use After Elective Cesarean Delivery: a Randomized Control Trial","The purpose of this study is to compare the effectiveness of local wound infiltration of EXPAREL® (liposomal bupivacaine) with bupivacaine HCl compared to active control with bupivacaine HCl alone following elective primary or repeat cesarean delivery with spinal anesthesia.","Inclusion Criteria:~Females 18 years of age and older at screening~Subjects at 37 completed weeks of gestation or greater undergoing elective primary or repeat cesarean delivery (CD)~Pfannenstiel incision~Regional spinal anesthesia~ASA classification I, II, or III~Able to give informed consent~English- or Spanish-speaking~Exclusion Criteria:~ASA classification IV~Allergy, hypersensitivity, intolerance, or contraindication to any of the study medications for which an alternative is not named in the protocol (eg, amide-type local anesthetics, opioids, bupivacaine, NSAIDs, spinal anesthesia).~Potential drug interaction(s) with bupivacaine~Severe renal or hepatic dysfunction manifest as serum creatinine level >2 mg/dL, blood urea nitrogen level >50 mg/dL , serum aspartate aminotransferase level >3 times the upper limit of normal, or serum alanine aminotransferase level >3 times the ULN.~Any clinically significant maternal or fetal event or condition arising during surgery (eg, excessive bleeding, acute sepsis) that might render the subject medically unstable or complicate the subject's postsurgical course. In this situation, the subject would be ineligible to receive study drug and withdrawn from the study.~Chronic pain disorder manifest as a concurrent, painful, physical condition that may require long-term, consistent use of opioids postoperatively for pain that is not strictly related to the surgery and may confound postsurgical assessments.~History of, suspected, or known addiction or abuse of illicit drug(s) or prescription medication(s) within the past 2 years.~Planned concurrent surgical procedure except for salpingo-oophorectomy or tubal ligation.~Subject at increased risk for bleeding or coagulation disorder (defined as platelet count less than 80,000/mm3 or international normalized ratio[INR] greater than 1.5).~Pregnancy body mass index >50 kg/m2 or otherwise not anatomically appropriate to undergo local incision infiltration.~Conversion of spinal anesthesia to general anesthesia due to incomplete neuraxial block and unsatisfactory surgical anesthesia.",1,"Postpartum intervention","The purpose of this study is to compare the effectiveness of local wound infiltration of EXPAREL® (liposomal bupivacaine) with bupivacaine HCl compared to active control with bupivacaine HCl alone following elective primary or repeat cesarean delivery with spinal anesthesia.",0,0,"following elective primary or repeat cesarean delivery with spinal anesthesia"
"53","NCT03330119","Determining the Effect of an Alternate Recovery Protocol Versus Current Standard of Care After Cesarean Section","This randomized controlled trial will compare two different approaches to patient recovery after cesarean section: the current standard of care versus an alternate management protocol. The goal of this study is to investigate whether an alternate management protocol after cesarean sections will yield the same results as alternate management in other surgical fields, including decreased narcotic consumption and quicker return of bowel function, without compromising patient morbidity or satisfaction.~The investigators will assess postoperative narcotic consumption as the primary outcome. Secondary outcomes will be return of bowel function, length of hospital stay, pain control, patient satisfaction, post-operative complications, and overall morbidity and mortality.~Hypothesis: Initiating the alternate management protocol for cesarean sections will decrease narcotic consumption and hasten return of bowel function, without compromising patient satisfaction, level of pain control, or post-operative morbidity.","Inclusion Criteria:~Scheduled to undergo a cesarean section~Exclusion Criteria:~Existing diagnosis of chronic pain~Need to undergo a vertical skin incision~AST > 50; ALT > 70~Platelets below 80,000 on admission~Need to undergo general anesthesia~Tubal ligation at time of Cesarean section~Prior or known allergy to any of the medications being utilized in this study",1,"Postpartum intervention","The goal of this study is to investigate whether an alternate management protocol after cesarean sections will yield the same results as alternate management in other surgical fields, including decreased narcotic consumption and quicker return of bowel function, without compromising patient morbidity or satisfaction.",0,1,"This randomized controlled trial will compare two different approaches to patient recovery after cesarean section: the current standard of care versus an alternate management protocol."
"54","NCT01812057","Dexamethasone as an Analgesic Adjunct for Post-cesarean Delivery Pain Relief","The purpose of this study is to compare post-cesarean section consumption of pain medication between two groups of patients undergoing scheduled cesarean section at term gestation who receive a single-dose of intraoperative steroid (dexamethasone 8 milligrams) versus placebo at 24 hours after surgery. The hypothesis is that a single perioperative dose of dexamethasone 8 mg will significantly reduce postoperative opioid consumption at 24 h in women having cesarean delivery under spinal anesthesia.","Inclusion Criteria:~American Society of Anesthesiology (ASA) class 1, 2 and 3~Gestational age > 37 weeks~scheduled for elective cesarean delivery~spinal or combined spinal epidural anesthesia~18 years or older~speak English~Exclusion Criteria:~BMI > 45 kg/m2~Diabetes Mellitus (Type 1, 2 and gestational)~mild or severe preeclampsia~history of intravenous drug or opioid abuse~previous history of chronic pain syndrome~history of opioid use in the past week~receipt of an antiemetic within 24 h prior to surgery~Non-English speaking",1,"Postpartum intervention","The purpose of this study is to compare post-cesarean section consumption of pain medication between two groups of patients undergoing scheduled cesarean section at term gestation.",0,0,"compare post-cesarean section consumption of pain medication"
"55","NCT02096003","Comparison of Intrathecal Hydromorphone and Intrathecal Morphine for Postoperative Analgesia After Cesarean Delivery","The use of intrathecal opioids for analgesia in the setting of cesarean section has become standard obstetric anesthesia practice. Currently, two opioids are commonly used. These opioids are fentanyl and morphine (Duramorph). Intrathecal opioids are an excellent source of analgesia and act to reduce the stress response to surgery.~Currently, most obstetric anesthesiologists use intrathecal morphine for analgesia after cesarean delivery. Morphine provides excellent analgesia for cesarean section. However, use of this medication is associated with side effects such as pruritus and nausea and vomiting.~Recently, multiple obstetric anesthesia groups began to use intrathecal hydromorphone for cesarean delivery when morphine was unavailable. As groups began to use hydromorphone, retrospective data became available that demonstrated its safety and efficacy for use during cesarean section.~In order to fully elucidate the analgesic and side effect properties of hydromorphone for cesarean delivery, a prospective randomized, double blind study comparing morphine and hydromorphone is necessary. The investigators need to understand whether hydromorphone is as effective as morphine for analgesia after cesarean section, and whether it is associated with fewer or more side effects. The results of the study will allow providers to make educated decisions to better care for their patient.","Inclusion Criteria:~Elective primary cesarean section~Females age 18-40~Exclusion Criteria:~Emergency cesarean section~Anesthetic other than spinal~History of chronic pain or pre-op opioid use~Allergy to morphine or hydromorphone~BMI>40",1,"Neither","0",0,0,"analgesia after cesarean delivery"
"56","NCT03176459","A Multicenter, Randomized, Double-blind, Active-controlled Study to Evaluate the Safety and Efficacy of EXPAREL When Administered Via Infiltration Into the Transversus Abdominis Plane (TAP) Versus Bupivacaine Alone in Subjects Undergoing Elective Cesarean Section","Primary objective: The primary objective of this study is to compare total opioid consumption through 72 hours following EXPAREL+bupivacaine HCl infiltration into the transversus abdominis plane (TAP) after spinal anesthesia to active bupivacaine HCl TAP infiltration after spinal anesthesia in subjects undergoing an elective cesarean section (C-section).~Secondary objective: The secondary objectives are to assess efficacy and safety parameters and patient satisfaction.","Inclusion Criteria:~Females 18 years of age and older at screening.~Term pregnancies of 37 to 42 weeks gestation, scheduled to undergo elective C-section.~American Society of Anesthesiology (ASA) physical status 1, 2, or 3.~Able to provide informed consent, adhere to the study visit schedule, and complete all study assessments.~Exclusion Criteria:~Subjects who, in the opinion of the study site principal investigator, have a high-risk pregnancy (eg, multiple gestations, pregnancy resulting from in vitro fertilization, gestational diabetes, end-term prolonged bed rest required for medical reasons).~Subjects with a pregnancy-induced medical condition or complication (eg, hypertension, pre-eclampsia, chorioamnionitis).~Subjects with 3 or more prior C-sections.~Pre-pregnancy body mass index >50 kg/m2 or otherwise not anatomically appropriate to undergo a TAP block.~Allergy, hypersensitivity, intolerance, or contraindication to any of the study medications for which an alternative is not named in the protocol (eg, amide-type local anesthetics, opioids, bupivacaine, NSAIDs, spinal anesthesia).~Planned concurrent surgical procedure with the exception of salpingo-oophorectomy or tubal ligation.~Severely impaired renal or hepatic function (eg, serum creatinine level >2 mg/dL [176.8 μmol/L], blood urea nitrogen level >50 mg/dL [17.9 mmol/L], serum aspartate aminotransferase [AST] level >3 times the upper limit of normal [ULN], or serum alanine aminotransferase [ALT] level >3 times the ULN.)~Subjects at an increased risk for bleeding or a coagulation disorder (defined as platelet count less than 80,000 × 103/mm3 or international normalized ratio greater than 1.5)~Concurrent painful physical condition that may require analgesic treatment (such as long-term, consistent use of opioids) in the postsurgical period for pain that is not strictly related to the surgery and which may confound the postsurgical assessments.~Clinically significant medical disease in either the mother or baby that, in the opinion of the investigator, would make participation in a clinical study inappropriate. This includes any psychiatric or other disease in the mother that would constitute a contraindication to participation in the study or cause the mother to be unable to comply with the study requirements.~History of, suspected, or known addiction to or abuse of illicit drug(s), prescription medicine(s), or alcohol within the past 2 years.~Administration of an investigational drug within 30 days or 5 elimination half-lives of such investigational drug, whichever is longer, prior to study drug administration, or planned administration of another investigational product or procedure during the subject's participation in this study~Previous participation in an EXPAREL study. In addition, the subject will be ineligible to receive study drug and will be withdrawn from the study if she meets the following criteria during surgery:~Any clinically significant event or condition uncovered during the surgery (eg, excessive bleeding, acute sepsis) that might render the subject medically unstable or complicate the subject's postsurgical course.~Receives the epidural component of CSE anesthesia during participation in the study.",1,"Neither","0",0,0,"The primary objective of this study is to compare total opioid consumption through 72 hours following EXPAREL+bupivacaine HCl infiltration into the transversus abdominis plane (TAP) after spinal anesthesia to active bupivacaine HCl TAP infiltration after spinal anesthesia in subjects undergoing an elective cesarean section (C-section)."
"57","NCT02829944","Impact of Local Anesthetic Wound Infiltration on Postoperative Pain Following Cesarean Delivery","The purpose of this study is to determine if the infusion of the local anesthetic ropivacaine (a numbing medicine) and the non-steroidal anti-inflammatory drug ketorolac (a pain killer similar to ibuprofen) through a catheter placed along the cesarean delivery incision, will reduce the pain experienced after cesarean section and need for narcotic pain medicine.","Inclusion Criteria:~American Society of Anesthesiology (ASA) class 1,2, and 3~English speaking women at a gestational age > 37 weeks~scheduled for cesarean delivery under spinal or combined spinal epidural anesthesia~Exclusion Criteria:~BMI > 50 kg/m2~history of intravenous drug or opioid abuse~previous history of chronic pain syndrome~history of opioid use in the past week~allergy or contraindication to any of the study medications~non-English speaking",1,"Postpartum intervention","The purpose of this study is to determine if the infusion of the local anesthetic ropivacaine (a numbing medicine) and the non-steroidal anti-inflammatory drug ketorolac (a pain killer similar to ibuprofen) through a catheter placed along the cesarean delivery incision, will reduce the pain experienced after cesarean section and need for narcotic pain medicine.",0,1,"reduce the pain experienced after cesarean section"
"58","NCT02959476","A Double Blind, Multi-center, Randomized, Placebo-Controlled, Parallel Group, Phase 3 Study to Evaluate the Efficacy and Safety of Ropivacaine 0.2% Pre-Filled Dispenser for the Treatment of Postsurgical Pain in Patients Undergoing Cesarean Delivery","This study evaluates a Ropivacaine 0.2% Pre-Filled Dispenser in the treatment of post-surgical pain in patients undergoing Cesarean delivery. Half of the patients will receive Ropivicaine and half will receive placebo.","Inclusion Criteria:~Complete the informed consent process as documented by a signed informed consent form (ICF).~Be in generally good health and classified as either PS-1 or PS-2 by the American Society of Anesthetists (ASA) Physical Status Classification System.~Have a single birth pregnancy. Can be parous or nulliparous.~Be scheduled for a Cesarean Delivery~Subjects undergoing emergency Cesarean Delivery will not be eligible for participation in this study.~In the event a subject signs the ICF (but has not been randomized), has a C section planned and then has an emergency C section delivery, this subject will be considered a screen failure.~In the unlikely event a subject signs the ICF and is randomized into the study, has a C section planned and then has an emergency C section delivery, this subject will continue in the study as planned.~Be willing to complete the pain assessments according to the protocol and return to clinic as scheduled, as needed.~Exclusion Criteria:~Have an uncontrolled medical condition, serious intercurrent illness, clinically significant general health condition, or extenuating circumstance that may significantly decrease study compliance or otherwise preclude their participation in the study.~Have a clinically significant abnormal electrocardiogram (ECG) at screening as determined by the Investigator.~Have a history of any medical condition or surgical procedure that would alter the absorption, distribution, metabolism, or excretion of ropivacaine.~Have, in the opinion of the investigator, a clinically significant abnormality in their clinical laboratory values (urinalysis, hematology and chemistry) at screening.~Have made a donation (standard donation amount or more) of blood or blood products (with the exception of plasma as noted below) within 56 days prior to Day 1.~Weigh greater than 100 kg (220 lbs).~Have made a plasma donation within 7 days prior to Day -1.~Have a known allergy or hypersensitivity to anesthetics (eg. Ropivacaine), acetaminophen, or non-steroidal anti inflammatory drugs (NSAIDs, eg, ibuprofen or naproxen, ketorolac).~Not be able or willing to discontinue the prohibited medications listed below within the allotted time before surgery and throughout the duration of their participation in the study.~monoamine oxidase inhibitors (MAOIs) within the past 30 days~anticonvulsants, tricyclic antidepressants (TCAs), neuroleptics, serotonin-norepinephrine reuptake inhibitors (SNRIs), as well as selective serotonin reuptake inhibitors (SSRIs) (unless SSRIs have been prescribed for depression and/or anxiety and subjects have been on a stable dose for at least 30 days prior to the screening visit);~Corticosteroids: Oral and injectable corticosteroids must be discontinued 3 months prior to surgery; nasal, inhaled and topical corticosteroids will be allowed;~Use concurrent therapy that could interfere with the evaluation of efficacy or safety parameters in the opinion of the investigator (eg, any drugs, in the investigator's opinion, that may exert significant analgesic properties), except for rescue medications.~Have a history of seizures or history of serious head injury.~Must not be a member of a vulnerable population as defined by the Code of Federal Regulations Title 45, Part 46, Delivery 46.111(b), including but not limited to employees (temporary, part-time, full-time, etc.) or a family member of the research staff conducting the study, or of the Sponsor, or of the Clinical Research Organization.~Have previously participated in a clinical trial using ropivacaine.~Have a history of major mental illness that in the opinion of the Investigator may affect the ability of the subject to participate in the study. Institutionalized subjects will not be eligible for participation.",1,"Postpartum intervention","This study evaluates a Ropivacaine 0.2% Pre-Filled Dispenser in the treatment of post-surgical pain in patients undergoing Cesarean delivery.",0,1,"This study evaluates a Ropivacaine 0.2% Pre-Filled Dispenser in the treatment of post-surgical pain in patients undergoing Cesarean delivery."
