,nct_id,official_title,summary,criteria,conditions,Erectile,Erectile_summary,Erectile_quote,Review,
121,NCT00415571,"Efficacy and Safety of Fispemifene in the Treatment of Hypogonadal Men With Erectile Dysfunction Unresponsive to PDE5 Inhibitors: An 8-Week, Randomized, Double-Blind, Placebo-Controlled Study","The objective of the study is to assess and compare the preliminary efficacy, safety and tolerability of fispemifene 300 mg and placebo given once daily for 8 weeks in the treatment of hypogonadal men with erectile dysfunction (ED) unresponsive to PDE5 inhibitors.","Inclusion Criteria:~Hypogonadal (morning total testosterone levels ≤400 ng/dl) men age ≥20 with ED who are unresponsive to PDE5 inhibitors, as demonstrated by International Index of Erectile Function (IIEF) results for 28-day lead in period.",hypogonadism~erectile dysfunction,1,The trial is focused on evaluating the efficacy and safety of fispemifene specifically for the treatment of erectile dysfunction in hypogonadal men who do not respond to PDE5 inhibitors.,"The objective of the study is to assess and compare the preliminary efficacy, safety and tolerability of fispemifene 300 mg and placebo given once daily for 8 weeks in the treatment of hypogonadal men with erectile dysfunction (ED) unresponsive to PDE5 inhibitors.",1,
38,NCT00141349,"A Double-Blind, Placebo Controlled, Parallel Group, Multicenter Study to Assess the Time to Onset, Safety, and Toleration of Differing Doses and Combinations of Immediate Release and Modified Release Formulations of UK369,003 in Adult Male Subject With Erectile Dysfunction","To determine the onset of action, safety and toleration of different formulations and doses of UK-369,003 in patients with erectile dysfunction. Patients should have been previously treated with PDE5 inhibitors and have been responders to the drugs. Duration of treatment is 4 weeks.",Inclusion Criteria:~Erectile dysfunction as defined by DSM-IV. Patients should have been PDE5 inhibitor respondents~Exclusion Criteria:~Alpha blockers and Nitrates of any preparation,impotence,1,"The trial is focused on assessing the onset of action, safety, and toleration of different formulations and doses of UK-369,003 specifically in patients with erectile dysfunction.","To determine the onset of action, safety and toleration of different formulations and doses of UK-369,003 in patients with erectile dysfunction.",1,
39,NCT00143221,"A Multicenter, Randomized, Parallel Group, Double-blind, Placebo-controlled Flexible Dose Study With and Open-label Extension to Assess the Efficacy and Safety of Viagra (Sildenafil Citrate) in the Treatment of Men With Erectile Dysfunction (ED) and Concomitant Lower Urinary Tract Symptoms (LUTS) Associated With Benign Prostatic Hyperplasia (BPH) in the United States",The purpose of this study is to determine whether Viagra is effective in treating erectile dysfunction and lower urinary tract symptoms in men affected by both conditions.,Inclusion Criteria:~clinical diagnosis of erectile dysfunction (ED)~lower urinary tract symptoms (LUTS)~Exclusion Criteria:~previous prostate surgery or invasive intervention for BPH~active urinary tract disease,impotence,1,"The trial is focused on assessing the efficacy and safety of Viagra (Sildenafil Citrate) specifically for the treatment of erectile dysfunction in men, making it directly related to erectile dysfunction.",The purpose of this study is to determine whether Viagra is effective in treating erectile dysfunction and lower urinary tract symptoms in men affected by both conditions.,1,
40,NCT00143260,"Multicenter Randomized Double-Blind, Placebo-Controlled, Fixed-Dose Parallel Study Of Men With Mild To Moderate Erectile Dysfunction To Evaluate The Efficacy Of Viagra 8 Hours Post-Dose - II",Safety/Efficacy of 100mg Viagra at 8 hours post dose in men with mild to moderate erectile dysfunction,"Inclusion Criteria:~Men 18-70 years of age~Documented clinical diagnosis of erectile dysfunction of at least 3 months duration.~Exclusion Criteria:~Subjects with penile implants~Subjects with a known history of retinitis pigmentosa.~Subjects, due to the requirement of 100 mg dosage, who are receiving concomitant treatment with the potent CYP3A4 inhibitor ritonavir.",impotence,1,"The trial is focused on evaluating the efficacy and safety of Viagra specifically for men with mild to moderate erectile dysfunction, as indicated by the study title and description.","Multicenter Randomized Double-Blind, Placebo-Controlled, Fixed-Dose Parallel Study Of Men With Mild To Moderate Erectile Dysfunction To Evaluate The Efficacy Of Viagra 8 Hours Post-Dose - II Safety/Efficacy of 100mg Viagra at 8 hours post dose in men with mild to moderate erectile dysfunction",1,
48,NCT00147628,"A Multi-Center, Double-Blind Placebo Controlled, Flexible-Dose Study With An Open-Label Phase To Assess The Efficacy Of Sildenafil Citrate On Erectile Function And Intercourse Satisfaction As Well As To Validate The Sexual Experience Questionnaire And Its Treatment Responsiveness In Men With Erectile Dysfunction",To evaluate the effectiveness of sildenafil on erectile function and intercourse satisfaction in men with ED as well as to validate the new Sexual Experience Questionnaire which incorporates functional and emotional elements of a man's sexual experience into one comprehensive questionnaire.,"Inclusion Criteria:~Documented clinical diagnosis of erectile dysfunction, defined by a score of less than or equal to 25 on the Erectile Dysfunction domain of the International Index of Erectile Function~Exclusion Criteria:~Subjects who have been treated with more than 6 doses of sildenafil or any other phosphodiesterase type 5 inhibitor",impotence,1,The trial is focused on evaluating the effectiveness of sildenafil on erectile function and intercourse satisfaction in men with erectile dysfunction (ED).,To evaluate the effectiveness of sildenafil on erectile function and intercourse satisfaction in men with ED as well as to validate the new Sexual Experience Questionnaire which incorporates functional and emotional elements of a man's sexual experience into one comprehensive questionnaire.,1,
53,NCT00249730,"A Prospective Multicenter, Parallel Group Study With A Single Blind Phase And A Double Blind Randomised Phase, To Evaluate The Efficacy And Satisfaction Of Viagra (Sildenafil Citrate) High Dose (100mg) Titration Compared With 50mg Dose, In Men With Erectile Dysfunction","To evaluate the efficacy of Viagra dose titration to 100mg versus 50mg in men with erectile dysfunction, based on responses to the IIEF questionnaire as measured at the beginning and at the end of double blind treatment, comparing the group titrated to 100mg vs. the group maintained on 50mg.","Inclusion Criteria:~Documented clinical diagnosis of ED by using IIEF-EF domain with score of â‰¤ 25.~Subjects must be in a stable relationship with the same partner for at least 6 months and willing to attempt sexual intercourse.~Exclusion Criteria:~Subjects in whom sexual activity is inadvisable in the opinion of the investigator such as significant cardiovascular disease in the last 6 months; including cardiac failure, myocardial infarction, unstable angina, stroke or transient ischemic attack (TIA), symptomatic or clinically significant cardiac arrhythmias including atrial fibrillation.~Subjects who are currently taking or are likely to be treated with nitrates or nitric oxide donors in any form (oral, sublingual, buccal, transdermal, inhalational or as aerosols) on either regular or intermittent basis.",impotence,1,"The trial is focused on evaluating the efficacy of different doses of Viagra specifically for men with erectile dysfunction, as indicated by the study's objective and inclusion criteria.","To evaluate the efficacy of Viagra dose titration to 100mg versus 50mg in men with erectile dysfunction, based on responses to the IIEF questionnaire as measured at the beginning and at the end of double blind treatment, comparing the group titrated to 100mg vs. the group maintained on 50mg.",1,
63,NCT00137072,"Multicenter, Randomized, Double-Blind, Placebo-Controlled, Fixed-Dose Parallel Study of Men With Mild to Moderate Erectile Dysfunction to Evaluate the Efficacy of Viagra 8 Hours Post-Dose",Safety/Efficacy of 100-mg Viagra at 8 hours post dose in men with mild to moderate erectile dysfunction,"Inclusion Criteria:~Men 18-70 years of age~Documented clinical diagnosis of erectile dysfunction of at least 3 months duration.~Exclusion Criteria:~Subjects with penile implants~Subjects with a known history of retinitis pigmentosa.~Subjects, due to the requirement of 100 mg dosage, who are receiving concomitant treatment with the potent CYP3A4 inhibitor ritonavir.",impotence,1,"The trial is specifically focused on evaluating the efficacy of Viagra in men with mild to moderate erectile dysfunction, as indicated by the study title and inclusion criteria.","Multicenter, Randomized, Double-Blind, Placebo-Controlled, Fixed-Dose Parallel Study of Men With Mild to Moderate Erectile Dysfunction to Evaluate the Efficacy of Viagra 8 Hours Post-Dose",1,
74,NCT00174486,"A Double Blind, Placebo Controlled, Parallel Group, Multicenter Study To Assess The Duration Of Action, Safety And Toleration Of Differing Doses and Combinations Of Immediate and Modified Release Formulations Of UK-369,003 and Cialis Compared To Placebo In Adult Male Subjects With Erectile Dysfunction","Assessment of duration of action, safety & toleration of different formulations and doses of UK-369,003 and Cialis in patients with male erectile dysfunction. Patients should have previously been on PDE5 inhibitors and have been respondents to the drug. Duration of treatment is 4 weeks.",Inclusion Criteria:~Erectile Dysfunction~Exclusion Criteria:~Alpha blockers and Nitrates of any preparation,impotence,1,"The trial is focused on assessing the duration of action, safety, and toleration of different formulations and doses of UK-369,003 and Cialis specifically in patients with male erectile dysfunction.","Assessment of duration of action, safety & toleration of different formulations and doses of UK-369,003 and Cialis in patients with male erectile dysfunction.",1,
86,NCT00547183,"A Randomized, Double-Blind, Parallel-Design, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Tadalafil (2.5 mg and 5 mg) Administered Once Daily to Men With Diabetes Mellitus and Erectile Dysfunction",Study to evaluate the safety and effectiveness of 2.5 mg and 5 mg tadalafil when taken by men with diabetes mellitus who have problems getting and maintaining an erection.,Inclusion Criteria:~History of erectile dysfunction for at least 3 months.~Currently have diabetes mellitus of at least 3 months duration.~Agree to not use any other ED treatment during the study.~Anticipate the same female sexual partner for the study.~Must be willing to make the required number of sexual attempts.~Exclusion Criteria:~History of other primary sexual disorder~Treatment with nitrates or potent CYP3A4 inhibitors~Have a penile implant or clinically significant penile deformity~History of certain heart problems~Have kidney or liver problems,impotence,1,The trial is focused on evaluating the safety and effectiveness of tadalafil specifically for men with diabetes mellitus who have erectile dysfunction.,Study to evaluate the safety and effectiveness of 2.5 mg and 5 mg tadalafil when taken by men with diabetes mellitus who have problems getting and maintaining an erection.,1,
87,NCT00547495,"A Randomized, Double-Blind, Placebo-Controlled Study of the Efficacy and Safety of Tadalafil Administered On Demand to Patients With Erectile Dysfunction",Study to determine how safe and effective tadalafil is for Japanese men taking it when they need to get and keep an erection.,Inclusion Criteria:~3 months history of erectile dysfunction (ED)~Anticipate a monogamous relationship with a female sexual partner~Be able to make minimum required sexual intercourse attempts~Abstain from using any other ED treatment~Exclusion Criteria:~Other primary sexual disorders~History of radical prostatectomy or other pelvic surgery that affected being able to have an erection~History of penile implant or clinically significant penile deformity.~Nitrate use~Certain heart problems,impotence,1,The trial is focused on evaluating the safety and efficacy of tadalafil specifically for treating erectile dysfunction in Japanese men.,Study to determine how safe and effective tadalafil is for Japanese men taking it when they need to get and keep an erection.,1,
88,NCT00547573,"A Multinational, Randomized, Double-Blind, Parallel, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Tadalafil Administered On Demand to Asian Men With Erectile Dysfunction",Study to determine if tadalafil works better than placebo for Asian men having trouble getting or keeping an erection.,Inclusion Criteria:~History of erection problems~Anticipate a monogamous female sexual relationship~Abstain from other erection treatments at least 4 weeks before first dose and throughout the study~Must be able to make required sexual intercourse attempts~Exclusion Criteria:~Other primary sexual disorders~History of radical prostatectomy or other pelvic surgery that affected being able to have an erection~History of penile implant or clinically significant penile deformity~Nitrate use~Certain heart problems,impotence,1,The trial is focused on evaluating the efficacy and safety of tadalafil specifically for treating erectile dysfunction in Asian men.,Study to determine if tadalafil works better than placebo for Asian men having trouble getting or keeping an erection.,1,
117,NCT00245258,"A Multicenter, Double-Blind Placebo Controlled, Fixed Dose Study With An Open-Label, Flexible Dose Phase To Assess The Efficacy Of Sildenafil Citrate In Providing A Better Sexual Experience Including Quality Of Erections And Satisfaction In Men With Erectile Dysfunction",The study objective is to:~To evaluate the effect of sildenafil citrate versus placebo on the IIEF_EF Domain at the end of the double-blind phase~To assess the relationship between treatment with sildenafil citrate or placebo and responses to the Quality of Erection Questionnaire (QEQ) and Sexual Experience Questionnaire (SEX_Q).,"Inclusion Criteria:~Male subjects aged 18-65.~Documented clinical diagnosis of erectile dysfunction confirmed by an IIEF-EF Domain score of less than or equal to 25. (If the subject scores greater than 25 on the IIEF-EF Domain, screening procedures should be terminated.)~Exclusion Criteria:~Subjects who have been treated with more than 6 doses of sildenafil citrate or any other phosphodiesterase type 5 (PDE-5) inhibitor such as vardenafil or tadalafil for erectile dysfunction [Note: subjects should not have taken any PDE-5 inhibitors within 4 weeks prior to the date of screening].",impotence,1,"The trial is focused on evaluating the efficacy of sildenafil citrate in improving sexual experience, quality of erections, and satisfaction in men with erectile dysfunction. The inclusion criteria specifically require a documented clinical diagnosis of erectile dysfunction.",The study objective is to:~To evaluate the effect of sildenafil citrate versus placebo on the IIEF_EF Domain at the end of the double-blind phase~To assess the relationship between treatment with sildenafil citrate or placebo and responses to the Quality of Erection Questionnaire (QEQ) and Sexual Experience Questionnaire (SEX_Q).,1,
123,NCT00273416,"A Randomized Double Blind, Placebo Controlled Balanced 4-Way Crossover Study To Assess The Efficacy Of Single Oral Doses Of PF-00592379 On Erectile Function, Using 100mg Sildenafil As A Positive Control","The primary aim of this study is to assess how effective PF-00592379 is in restoring penile erections in patients with erectile dysfunction. Patients will attend for 4 treatment visits where they will receive the following in random order; 2 separate doses of PF-00592379, sildenafil 100mg used as a positive control, or placebo (dummy medication). The effect on penile erections will be assessed in the clinic using penile plethysmography (RigiScan PlusTM technique).","Inclusion Criteria:~Erectile dysfunction, previous good response to an oral treatment for erectile dysfunction.~Exclusion Criteria:~Patients with high blood pressure or certain heart conditions (e.g. angina, heart failure), regardless of whether treated or not.~Patients on nitrates or alpha-blocker medications.",impotence,1,"The trial is focused on assessing the efficacy of PF-00592379 in restoring penile erections specifically in patients with erectile dysfunction, making it directly related to erectile dysfunction.",The primary aim of this study is to assess how effective PF-00592379 is in restoring penile erections in patients with erectile dysfunction.,1,
130,NCT00343200,"A Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled Flexible-Dose Study To Assess The Efficacy And Safety Of Viagra (Sildenafil Citrate) In Men With Erectile Dysfunction (ED) Who Do Not Self Identify.",To compare the efficacy and safety of Viagra (sildenafil citrate) vs. placebo for the treatment of men with ED and at least 1 prespecified risk factor who do not self identify as having ED.,"Inclusion Criteria:~Men who do not identify as having ED with documented ED~Men 30 years of age and older~At least one prespecified risk factor for ED~Exclusion Criteria:~Subjects currently prescribed, taking and/or likely to be treated with nitrates or nitric oxide donors in any form on either a regular or intermittent basis~Subjects with a known history of retinitis pigmentosa.",impotence,1,"The trial is focused on assessing the efficacy and safety of Viagra specifically for men with erectile dysfunction, even if they do not self-identify as having ED.",To assess the efficacy and safety of Viagra (sildenafil citrate) in men with Erectile Dysfunction (ED) who do not self identify.,1,
146,NCT00422734,Tadalafil 5 mg Once a Day Compared to Placebo in Improving Erectile Dysfunction and Sexual Quality of Life,To determine if tadalafil 5 mg daily compared to placebo when given for 12 weeks improves getting and maintaining an erection in men with erectile dysfunction and if there are improvements in the sexual quality of life of the man and his female study partner,"Inclusion Criteria:~Male~History of erectile dysfunction (ED) for at least 3 months duration~Anticipate having the same female partner willing to participate throughout the study~At least 18 years of age at Visit 1 and agree to make at least 4 sexual attempts during the early phase of the study~Adequate partner sexual function as determined by a Female Sexual Function Index~Willing to record responses to efficacy questionnaires, sexual quality of life questionnaires and other instruments used in the study~Exclusion Criteria:~May not participate in the study if you have taken tadalafil previously.~History of cardiac conditions including angina requiring treatment with nitrates, heart disease of coronary conditions including myocardial infarction, bypass surgery, angioplasty or stent placement for specified time before starting the study.~Have sexual partner not willing to complete the scales.~Use of nitrates.",impotence,1,The trial is focused on evaluating the effectiveness of tadalafil 5 mg daily in improving erectile dysfunction and the sexual quality of life for men with erectile dysfunction and their partners.,To determine if tadalafil 5 mg daily compared to placebo when given for 12 weeks improves getting and maintaining an erection in men with erectile dysfunction and if there are improvements in the sexual quality of life of the man and his female study partner,1,
150,NCT00547092,"A Multicenter Open-Label Study to Determine Treatment Preference of Tadalafil (IC351, LY450190) or Sildenafil Citrate in the Oral Treatment of Erectile Dysfunction",To determine if men prefer tadalafil or sildenafil for getting and keeping an erection after treatment with both drugs.,Inclusion Criteria:~History of erection problems~Never taken treatments known as PDE5 inhibitors for erection issues~Abstain from using any other erection treatments during the study~Anticipate a monogamous female sexual relationship~Must be able to make required sexual intercourse attempts~Exclusion Criteria:~History of other primary sexual disorder~Treatment with nitrates~Have a penile implant or clinically significant penile deformity~History of certain heart problems~Do not meet certain lab value reference ranges,impotence,1,"The trial is focused on determining the preference between tadalafil and sildenafil specifically for the treatment of erectile dysfunction, as indicated by the study's objective to assess which drug men prefer for achieving and maintaining an erection.",To determine if men prefer tadalafil or sildenafil for getting and keeping an erection after treatment with both drugs.,1,
151,NCT00301262,"A Multi-Center, Parallel Group, Flexible Dose Trial With A Double-Blind, Randomized, Placebo-Controlled Phase Followed By An Open-Label Phase To Assess The Impact Of Viagra On The Sexual Satisfaction Of Men With Mild Erectile Dysfunction","Men's quality of life (QoL) is potentially affected by mild erectile dysfunction (ED) to the same extent as it is by moderate and severe ED. This study will provide controlled clinical data measuring efficacy, QoL parameters and satisfaction changes in men with mild ED treated with Viagra versus those treated with a placebo. With an open-label extension, this study will also provide all study subjects the opportunity to receive the active drug treatment for 6 weeks.",Inclusion Criteria:~Men above age of majority~Mild erectile dysfunction (IIEF-EF 22-25) and sexual dissatisfaction (IIEF-OS 7 or less)~Exclusion Criteria:~Use of more than 4 doses of any PDE5 inhibitor in the past 12 weeks and use of any PDE5 inhibitor in the past 4 weeks~Subjects currently taking any other commercially available drug or non-drug treatment for ED,impotence,1,"The trial is focused on assessing the impact of Viagra on men with mild erectile dysfunction, measuring efficacy, quality of life parameters, and satisfaction changes.","This study will provide controlled clinical data measuring efficacy, QoL parameters and satisfaction changes in men with mild ED treated with Viagra versus those treated with a placebo.",1,
155,NCT00547508,"A Randomized, Double-Blind, Parallel, Placebo-Controlled Study in Men With Erectile Dysfunction to Evaluate the Efficacy and Safety of Tadalafil When Sexual Attempts Occur at Specific Time Points After Dosing",Study to see how effective different doses of tadalafil are for getting and keeping an erection when sex is attempted after a certain number of hours.,Inclusion Criteria:~At least 3 months history of erectile dysfunction (ED)~Anticipate a monogamous relationship with a female sexual partner~Be able to make minimum required sexual intercourse attempts~Abstain from using any other ED treatment~Exclusion Criteria:~History of other primary sexual disorder~Treatment with nitrates~Have a penile implant or clinically significant penile deformity~History of certain heart problems~Do not meet certain lab value reference ranges,impotence,1,"The trial is specifically focused on evaluating the efficacy and safety of tadalafil in men with erectile dysfunction, as indicated by the study title and inclusion criteria.","A Randomized, Double-Blind, Parallel, Placebo-Controlled Study in Men With Erectile Dysfunction to Evaluate the Efficacy and Safety of Tadalafil When Sexual Attempts Occur at Specific Time Points After Dosing",1,
34,NCT00090376,"Phase 2, Multi-Center, Randomized, Double-Blind, Placebo-Controlled, 3 Arm, 12-Month Study to Evaluate the Effects of GPI 1485 on Erectile Function in Patients Undergoing Bilateral Nerve-Sparing Radical Retropubic Prostatectomy for Prostatic Carcinoma","In this phase II study, an investigative (not approved by the FDA) drug called GPI 1485 is being assessed to see if it can help preserve erectile function after prostatectomy.","Inclusion Criteria:~Clinical diagnosis of localized prostate carcinoma and scheduled to undergo curative surgical resection via bilateral nerve sparing procedure.~Localized prostate cancer is defined as:~Gleason score <=7 (<=3 + <=4)~PSA <=10 off of finasteride (Proscar®) and dutasteride (Avodart®)~<=T2a stage disease~Motivated males, 40 to 69 years of age inclusive, and in the opinion of the investigator, are currently in a monogamous, sexually active relationship.~Males that have erectile function (EF) (without the use of pharmacotherapy within 30 days prior to screening assessment).~EF is defined as a score of >=26 on the EF domain of the IIEF questionnaire based on patient experiences over the 4 weeks prior to biopsy.~Body Mass Index (BMI) within the 18-34.9 kg/m2 range.~Able to swallow whole tablets equivalent to capsule size 0.~Available for protocol-specified visits and procedures.~Informed written consent must be provided prior to any study-specific procedures.~Exclusion Criteria:~Recent history, within 6 months before screening, of drug or alcohol abuse.~History of peripheral neuropathy.~History of acute or chronic depression that in the opinion of the investigator may interfere with protocol-specified efficacy measurements.~History of diabetes that requires use of insulin or oral hypoglycemic agents, myocardial infarction, or cerebrovascular accident.~History of spinal trauma or surgery to the brain or spinal cord.~Any medical disability or laboratory abnormality (e.g., serum creatinine > 2.0 mg/dL) that, in the opinion of the Investigator, may interfere with the protocol-specified safety and efficacy measurements, present an unacceptable risk to the patient's well-being, or compromise the patient's ability to provide informed consent.~History of pelvic radiation therapy (external beam radiation or brachytherapy).~Concomitant use of hormonal therapy, vasodilators (nitrates), dutasteride (Avodart®) or finasteride (Proscar®) within the 30 days prior to biopsy and throughout the study.~Concomitant use of therapeutic agents to treat ED other than those specified in the protocol is not permitted starting at least 30 days prior to biopsy and continuing throughout the study.~Previous exposure to GPI 1485 (previously AMG-474-00).~Treatment with an investigational agent within the 30 days before screening or scheduled to receive an investigational agent other than that specified by this protocol during the course of this study.~Any contraindication to Viagra® use~Unable to stop the use of inducers or inhibitors of cytochrome P450 (CYP) 3A4 from Baseline until the end of the study.",impotence~prostate cancer,1,"The trial is focused on evaluating the effects of GPI 1485 on erectile function in patients undergoing prostatectomy, specifically aiming to preserve erectile function post-surgery.","Phase 2, Multi-Center, Randomized, Double-Blind, Placebo-Controlled, 3 Arm, 12-Month Study to Evaluate the Effects of GPI 1485 on Erectile Function in Patients Undergoing Bilateral Nerve-Sparing Radical Retropubic Prostatectomy for Prostatic Carcinoma",1,
27,NCT01105130,A Randomized Phase II Dose Finding Study of ArginMax for Its Effect on Erectile Function and Quality of Life in Survivors of Prostate Cancer Previously Treated With Radiotherapy,RATIONALE: L-arginine supplements may improve the quality of life and erectile function in men who are prostate cancer survivors.~PURPOSE: This randomized phase II trial is studying how well L-arginine supplementation works with or without enzyme inhibitors in treating erectile function and quality of life of prostate cancer survivors previously treated with radiation therapy.,"INCLUSION CRITERIA:~Male prostate cancer survivor previously treated with radiotherapy and who identifies himself as concerned with sexual quality of life, including erectile dysfunction. (seed implants are eligible)~Had successful sexual activity prior to the commencement of radiotherapy.~Erectile dysfunction, defined as inability to achieve or maintain an erection sufficient for satisfactory sexual performance~Interested in sexual activity and agrees to make at least one sexual intercourse attempt with a partner every week during the study.~The usage of PDE-5 inhibitors will be voluntary and will serve as a stratification factor. Patients taking PDE-5 inhibitors must agree to assume the responsibility for the cost of PDE-5 inhibitor treatment during the protocol period (8 week period) as this is not covered in the cost of the trial.~Patients currently taking PDE-5 inhibitors sildenafil (Viagra®, Pfizer Pharmaceuticals), tadalafil(Cialis®, Lilly ICOS, LLC), and vardenafil (Levitra®, Bayer Healthcare / Schering Plough Corp.)must agree to take the medication only as prescribed by their treating physician.~Patients taking PDE-5 inhibitors as part of this study must be on a stable dose of drug for at least one month prior to study entry.~Must be able to take oral medications.~> 6 months following completion of all cancer therapy~No evidence of prostate cancer~Prior malignancies allowed if no evidence of recurrent disease.~If previously taken LHRH agonist androgen suppression (e.g, Lupron, Zoladex), anti-androgen (e.g., Casodex, Eulexin, Nilandron), or estrogenic (e.g., diethylstilbestrol) agents, serum testosterone must have returned to the laboratory normal range~No planned surgery while on protocol or for 4 weeks following completion of protocol~Prior cystoscopy is permitted.~Age > 18~ECOG performance status 0/1.~Patients must agree not to start taking an herbal product for erectile dysfunction during the eight weeks of study intervention.~EXCLUSION CRITERIA:~No other concurrent erectile dysfunction therapies permitted (i.e. vacuum pump,cavernosal injections, and other drug therapies). Past use of these and other therapies permitted if the patient can meet the inclusion criteria above.~No testosterone supplementation permitted.~Use of LHRH agonist androgen suppression (e.g, Lupron, Zoladex), anti- androgen (e.g., Casodex,Eulexin, Nilandron), or estrogenic (e.g., diethylstilbestrol) agents within the last 6 months.~Prior prostate or lower genitourinary surgery (bladder, penis, urethra, testicles)including transurethral resection of prostate (TURP). (Prior vasectomy is allowed)~Serious cardiovascular disease (unstable angina, supraventricular arrhythmia, myocardial infarction, symptomatic congestive heart failure, cardiac arrhythmia, coronary artery bypass surgery within 6 months prior to registration).~Hypotension (<90/50mm Hg), or uncontrolled hypertension (>170/100 mm Hg)~Stroke or spinal cord injury within 6 months before registration.~Patients on Persantine, heparin, Lovenox, warfarin, ginkgo biloba, Plavix, Disalcid, other blood-thinning medication or with a history of bleeding disorders will be excluded.(Aspirin < 325mg allowed)~Current use of cimetidine, ketoconazole, itraconazole, erythromycin, or ritonavir. Major medical or psychiatric illness which, in the opinion of the investigator, would prevent completion of treatment or would interfere with follow-up.~Current or prior use of any organic nitrate within the last 6 months (e.g., use of nitroglycerin)~May not receive other investigational agents or devices during 30 days prior to start of study drug.~History of allergic reactions attributed to compounds of similar chemical or biologic composition to ArginMax (l-arginine, ginseng, or ginkgo biloba)",male erectile disorder~prostate cancer~radiation toxicity,1,"The trial is focused on studying the effect of L-arginine supplementation on erectile function in prostate cancer survivors, specifically targeting erectile dysfunction as a primary outcome.",This randomized phase II trial is studying how well L-arginine supplementation works with or without enzyme inhibitors in treating erectile function and quality of life of prostate cancer survivors previously treated with radiation therapy.,1,
149,NCT02740127,Prospective Randomized Clinical Trial to Evaluate the Use of Caudal Nerve Blocks in Adult Penile Prosthesis Surgery,"During penile prosthesis surgery, patients are given general anesthesia in combination with other pain drugs. A caudal nerve block (CNB) is a local anesthetic injected near the tailbone, in addition to general anesthesia, which can lower the need for pain drugs.~The goal of this clinical research study is to learn how effective CNBs are in patients who are having penile prosthesis surgery compared to patients who only have general anesthesia by studying how long you stay in the hospital and the level of pain you have after surgery.~This is an investigational study. The general anesthesia and CNB used in this study are FDA approved and commercially available. It is considered investigational to compare the effectiveness of CNBs in penile prosthesis surgery to general anesthesia alone. The study doctor can explain how the study drugs are designed to work.~Up to 104 participants will be enrolled in this study. All will take part at MD Anderson.","Inclusion Criteria:~Patients that consent to participate.~Patients undergoing penile prosthesis surgery.~Patients that are male.~Patients that are 18 years of age or older.~Exclusion Criteria:~Patients on chronic pain medications (ie. Chronic = more than once every two days for greater than 2 weeks) excluding Aspirin, Acetaminophen and NSAIDs.~Patients with a BMI > 40.~Patients with chronic pain syndromes.~Patients with hypersensitivity to Ropivacaine/amide-type anesthetics.~Prior surgery of the sacrum.~Patients taking anti-coagulants or other blood thinning medications prior to surgery during the specified time frames: i) Low molecular weight heparin less than 36 hours prior to surgery. ii) Coumadin less than 5 days prior to surgery. iii) Plavix and NSAIDs less than 7 days prior to surgery.~Patients on any anti-seizure medications, such as gabapentin or Lyrica, specifically for chronic pain management less than 24 hours prior to surgery~Patients on Celebrex less than 24 hours prior to surgery~Patients taking more than 81 mg of Aspirin daily",malignant neoplasms of male genital organs,1,"This study is focused on patients undergoing penile prosthesis surgery, which is a common treatment for erectile dysfunction. The research aims to evaluate the effectiveness of caudal nerve blocks in managing pain during and after the surgery.",The goal of this clinical research study is to learn how effective CNBs are in patients who are having penile prosthesis surgery compared to patients who only have general anesthesia by studying how long you stay in the hospital and the level of pain you have after surgery.,1,Focused on pain post penile implant so perhaps a toss-up
