"","Combined"
"250","NCT01004029_A Phase 3B, Multi-Center, Randomized, Double-Blind Study of Hydroxyprogesterone Caproate (HPC) Injection, 250 mg/mL, Versus Vehicle for the Prevention of Preterm Birth in Women With a Previous Singleton Spontaneous Preterm Delivery_As part of the continuing effort to study the benefit and risks of 17P and preterm delivery, this study is designed as a multi-center, randomized, double-blind, vehicle-controlled clinical trial of 17P for the prevention of preterm birth prior to 35 weeks, 0 days of gestation in women with a singleton pregnancy, aged 18 years or older, with a previous singleton spontaneous preterm delivery. The study also includes a population pharmacokinetic (PK) substudy to assess the hydroxyprogesterone caproate (HPC) exposure-response relationship and the effect of body mass index (BMI) on the PK of 17P._Female_18 Years_N/A_Conditions:  preterm birth_Inclusion Criteria:~Each subject must meet the following criteria to be enrolled in this study:~Age ≥ 18 years.~Singleton gestation.~Project gestational age 16 weeks 0 days of gestation or more and less than or equal to 20 weeks 6 days of gestation at the time of randomization, based on clinical information and evaluation of the first ultrasound.~Documented history of a previous singleton spontaneous preterm delivery. Spontaneous preterm birth is defined as delivery from 20 weeks 0 days to 36 weeks 6 days of gestation following spontaneous preterm labor or pPROM. Where possible, the gestational age of the previous preterm birth (referred to as the qualifying delivery) should be determined as described in Gestational Age Determination. If the gestational age at delivery is obtained directly from the medical record and more than one gestational age appears, the latest will be used. As a validation of the gestational age of the previous delivery, if the infant weighed more than 3300 grams (the birth weight 90th percentile for 36 weeks gestational age), this will not qualify as preterm. The previous preterm delivery cannot be an antepartum stillbirth.~Exclusion Criteria:~Multifetal gestation.~Known major fetal anomaly or fetal demise. An ultrasound examination between 14 weeks 0 days through 20 weeks 3 days of gestation must be performed to rule out fetal anomalies.~Progesterone treatment in any form (i.e., vaginal, oral, intramuscular) during current pregnancy, other than micronized progesterone delivered orally or vaginally provided it is stopped at least 4 weeks prior to the first dose of study medication.~Heparin therapy during current pregnancy or history of thromboembolic disease.~Maternal medical/obstetrical complications including:~Current or planned cerclage~Hypertension requiring medication~Seizure disorder~Subjects with a uterine anomaly (uterine didelphys or bicornate uterus). However, subjects with uterine fibroids are eligible for the study.~Unwillingness to comply with and complete the study.~A 14 weeks 0 days through 20 weeks 3 days of gestation ultrasound cannot be arranged before randomization.~Participation in an antenatal study in which the clinical status or intervention may influence gestational age at delivery.~Participation in this trial in a previous pregnancy. Women who were screened in a previous pregnancy, but not randomized, do not have to be excluded.~Known hypersensitivity to hydroxyprogesterone caproate or its components.~Have any significant medical disorder that, in the opinion of the investigator, would be a contraindication to the use of the drug including those listed in section 5.3.2 of the investigational brochure. Other examples to consider include uncontrolled diabetes, known HIV infection or renal dysfunction.~Have any significant medical disorder that, in the opinion of the investigator, would preclude accurate evaluation of the subject's condition or outcome in the study."
"251","NCT00333307_A Phase I Randomized, Double-Blind, Placebo-Controlled, Dose-Escalation Study to Evaluate the Safety of Recombinant Human Relaxin (rhRlx) in Subjects With Preeclampsia_The purpose of this study is to determine whether different doses of recombinant human relaxin is safe when given to women with severe preeclampsia_Female_18 Years_40 Years_Conditions:  pre-eclampsia_Inclusion Criteria:~Diagnosis of preeclampsia~Hospital admission for expectant management~Exclusion Criteria:~Eclampsia or history of seizures~Vaginal bleeding~Multifetal gestation~Requirement for immediate delivery"
"252","NCT00135707_A Randomized Clinical Trial of Antioxidants to Prevent Preeclampsia and An Observational Cohort Study to Predict Preeclampsia_Preeclampsia is one of the most common complications of pregnancy and is characterized by high blood pressure and protein in the urine. This can cause problems in the second half of pregnancy for both the mother and fetus. This study of preeclampsia consists of two parts: 1) a randomized, placebo controlled, multicenter clinical trial of 10,000 low-risk nulliparous women between 9 and 16 weeks gestation and 2) an observational, cohort study of 4,000 patients between 9 and 12 weeks gestation who are also enrolled in the trial.~Subjects in both parts will receive either 1000 mg of vitamin C and 400 IU of vitamin E or matching placebo daily. The purpose of the randomized, clinical trial is to find out if high doses of vitamin C and E will reduce the risk of preeclampsia and other problems associated with the disease. The study will also evaluate the safety of antioxidant therapy for mother and infant. Patients will be seen monthly to receive their supply of study drug, to have weight and blood pressure recorded, to have urine protein measured, and to assess any side effects. At two visits, blood and urine will be collected.~The observational, cohort study will prospectively measure potential biochemical and biophysical markers that might predict preeclampsia. These patients will have additional procedures including uterine artery Doppler and blood drawn for a complete blood count (CBC)._Female_N/A_N/A_Conditions:  preeclampsia_RCT Inclusion Criteria:~Gestational age 9 -16 weeks~Singleton pregnancy~Nulliparous~Observational Inclusion Criteria:~Women randomized to the RCT~Gestational age 9 - 12 wks~Exclusion Criteria RCT and Observational:~BP >= 135/85~Proteinuria~History or current use of anti-hypertensive medication or diuretics~Use of vitamins C > 150 mg and/or E > 75 IU per day~Pregestational diabetes~Current pregnancy is a result of in vitro fertilization~Regular use of platelet active drugs or non-steroidal anti-inflammatory drugs (NSAIDS)~Known fetal abnormalities~Documented uterine bleeding within a week of screening~Uterine malformations~History of medical complications~Illicit drug or alcohol abuse during current pregnancy~Intent to deliver elsewhere~Participating in another interventional study"
"253","NCT02377466_Randomized, Double-blind, Multicenter, Phase III Study Comparing the Efficacy and Safety of Retosiban Versus Placebo for Women in Spontaneous Preterm Labor_The study's primary objective is to demonstrate the superiority of retosiban to prolong pregnancy and improve neonatal outcomes compared with placebo. It is a Phase III, randomized, double-blind, parallel-group, multicenter study and will be conducted in approximately 900 females, aged 12 to 45 years, with an uncomplicated, singleton pregnancy and intact membranes in preterm labor between 24^0/7 and 33^6/7 weeks of gestation. Eligible maternal subjects will be randomly assigned in a 1:1 ratio to receive either retosiban IV infusion or placebo IV infusion over 48 hours. If not previously administered, antenatal corticosteroid treatment should be administered as either (1) two 12-mg doses of betamethasone given intramuscularly 24 hours apart or (2) four 6-mg doses of betamethasone administered intramuscularly every 12 hours. A single rescue course of antenatal corticosteroids is permitted if the antecedent treatment was at least 7 days prior to study enrolment. Investigators have discretion to use a standardized regimen of magnesium sulphate, as well as intrapartum antibiotic prophylaxis for perinatal group B streptococcal infection. Prior to randomization, each subject will be stratified by progesterone treatment and gestational age. The progesterone strata will consist of subjects on established progesterone therapy or subjects not on established progesterone therapy at Screening. The study will comprise 6 phases: Screening, Inpatient Randomized Treatment, Post Infusion Assessment, Delivery, Maternal Post-Delivery Assessment, and Neonatal Medical Review. The duration of any subject's (maternal or neonatal) participation in the study will be variable and dependent on gestational ages (GA) at study entry and the date of delivery._Female_12 Years_45 Years_Conditions:  obstetric labour, premature_Inclusion Criteria:~Signed and dated written informed consent is required prior to a subject's participation in the study and the performance of any protocol specific procedures. Adolescents aged 12 to 17 years must provide written agreement to participate in the study in accordance with applicable regulatory and country or state requirements. Subjects will also be asked to sign a release for medical records at the time of consenting to allow access to both the maternal and neonatal records including information about delivery and infant care as well as information collected prior to the consent having been signed.~Females aged 12 to 45 years, with an uncomplicated, singleton pregnancy and intact membranes in preterm.~Gestational age between 24 and 33 weeks as determined by (1) known fertilization date, either in vitro fertilization or intrauterine insemination, (2) last menstrual period confirmed by the earliest ultrasound prior to 24 weeks gestation, or (3) the earliest ultrasound alone prior to 24 weeks gestation, whichever is the most accurate method available for each subject. In situations where prenatal ultrasound records are not available at the time the subject presents, the investigator will make every effort to obtain these records (either via computer records, directly from the subject's primary care obstetrician, or via telephone). However, in cases in which these records are not readily available (e.g., off hours, holiday), it is within the investigator's discretion to use GA based on a verbal history from the subject with the intent of getting confirmation from the medical records as soon as possible.~Females must be diagnosed with preterm labor according to both of the following criteria: a) Regular uterine contractions at a rate of >=4 contractions of at least 30 seconds' duration during a 30-minute interval confirmed by tocodynamometry and at least 1 of the following, b) Cervical dilation >=2 centimeter (cm) and <=4 cm by digital cervical examination or c) If <2 cm dilation by digital cervical examination, a cervical change consisting of an increase of at least 25% effacement or 1-cm dilation.~Current or past tocolytic treatment as follows: a) Subjects in whom tocolytic treatment has not been initiated prior to consent are eligible for the study, b) Transferred or referred subjects for whom parenteral magnesium sulfate treatment has been started before Screening are eligible provided they meet all eligibility criteria, c) Subjects receiving a prohibited tocolytic in this study are eligible only if the treatment is stopped before randomization and provided they meet all eligibility criteria, d) Subjects with a historical failure of a tocolytic treatment in a previous episode of preterm labor during the current pregnancy are eligible provided they meet all eligibility criteria.~Exclusion Criteria:~Fever with a temperature >100.4 degree Fahrenheit (38 degree centigrade) for more than 1 hour or >=101 degree Fahrenheit (38.3 degree centigrade) in the 24 hours prior to the start of study treatment.~Women with maternal-fetal conditions that potentially necessitate the need for delivery, such as pre-eclampsia or fetal compromise.~A fetus with any diagnosis, condition, treatment, or other factor that in the opinion of the investigator has the potential to affect or confound assessments of efficacy or safety (for example: nonreassuring fetal status, intrauterine growth restriction, major congenital anomaly).~Preterm premature rupture of membranes.~Women with any confirmed or suspected contraindication to prolongation of pregnancy, such as placental abruption, chorioamnionitis, or placenta previa.~Evidence of polyhydramnios (AFI >25 cm) or oligohydramnios (AFI <5 cm).~Women with co-morbid medical or obstetric conditions that in the opinion of the investigator have the potential to complicate the pregnancy course and outcomes, such as uncontrolled hypertension or uncontrolled diabetes (if known, history of glycosylated hemoglobin >8% at any time during pregnancy), or compromise the safety of the subject, such as underlying cardiovascular disorder (specifically ischemic cardiac disease, congenital heart disease, pulmonary hypertension, valvular heart disease, arrhythmias, and cardiomyopathy).~Women with a history of substance abuse during the pregnancy or urine drug screen positive for cocaine, phencyclidine (PCP), methamphetamine, or amphetamine.~Women in whom the combination of history and screening test results is suggestive of abuse or dependency that may have the potential to complicate the pregnancy outcome.~Women with any diagnosis, condition, treatment, or other factor that, in the opinion of the investigator, has the potential to affect or confound assessments of efficacy or safety.~Current active liver or biliary disease (with the exception of Gilbert's syndrome or asymptomatic gallstones or otherwise stable chronic liver disease per investigator assessment).~History of sensitivity to any of the investigational products (IPs) or components thereof or a history of drug or other allergy that, in the opinion of the investigator or GlaxoSmithKline/ Pharmaceutical Product Development (GSK/PPD) medical monitor, contraindicates the subject's participation."
"254","NCT01513447_Intracutaneous Sterile Water Injection as an Adjunct to Neuraxial Labor Analgesia: A Randomized Controlled Trial_For most women, the most significant pain they will experience is the pain associated with childbirth. Up to one-third of women experience back labor, this typically occurs when the fetus assumes varying degrees of malposition, especially the occiput posterior position, and causes additional constant pressure against the maternal spine and pelvis. Back labor presents as constant pain, that occurs even between contractions. It is often difficult to manage, by the patient, the obstetrician, and the anesthesiologist, and may increase the rate of instrumental and caesarian delivery.~Epidural anesthesia/analgesia is the most common and effective intervention used to help women cope with labor pain. Dilute concentrations of local anesthetic and opioid provide complete analgesia for most women. Some women, however, have breakthrough pain, often due to back labor, and require more concentrated drug solutions. This increases the side effects associated with these drugs (e.g., hypotension, pruritus, motor block), thus treatment of this pain poses a challenge for the anesthesiologist and the obstetrician.~Sterile water injections (SWI) are a simple and well-established method of managing labor pain among midwives. This intervention was first used to alleviate pain associated with kidney stones, and was introduced to obstetrics in the 1970s. Using a syringe, small amounts of sterile water is deposited subcutaneously near the sacral area. The sterile water causes osmotic and mechanical irritation resulting in a brief (15-30 second) and significant stinging sensation. The onset of pain relief follows almost immediately and may last for up to two hours. The procedure can be repeated a number of times.~Sterile water for pain management is most often administered using four intracutaneous injections: two sites lateral to the lumbosacral spine and two sites 2-3 cm below and 1-2 cm medial to the original two injection sites. 0.1 mL of sterile water is injected between the dermal layers to raise a small bleb on the skin surface at each of the four sites. In labor, the injections are administered sequentially during a uterine contraction, with the series of four injections, performed two at a time, completed within 20-30 seconds.~The investigators hypothesize that the use of sterile water injections in women with neuraxial analgesia with breakthrough pain will result in decreased local anesthetic requirements and increase patient satisfaction._Female_18 Years_60 Years_Conditions:  labor pain_Inclusion Criteria:~multiparous women~spontaneous labor~at least 18 years of age~presenting for vaginal delivery with cervical dilation of 4 centimeters or less~Exclusion Criteria:~nulliparous~less than 18 years old~contraindication to placement of neuraxial anesthetic~skin infection in area to be injected~medical therapies considered to result in tolerance to opioids~history of chronic pain (requiring regular medical follow-up with pain specialists)~recent use of opioid analgesics (within the year preceding pregnancy)"
"255","NCT00906347_A Randomized, Controlled Trial of Oral Misoprostol for Labor Augmentation_This is a prospective, randomized, controlled trial designed to examine the efficacy of oral misoprostol for labor augmentation compared to a standard regimen of intravenous oxytocin._Female_16 Years_N/A_Conditions:  labor augmentation_Inclusion Criteria:~Clinical decision to augment labor~Gestational age > than or equal to 36 weeks~Singleton gestation~Cephalic presentation~Reassuring fetal heart rate tracing~Cervical dilation between 4 and 8 cm~Ruptured membranes with clear amniotic fluid~Intrauterine pressure catheter in place~Less than 200 MVUs in a 10 minute period~5 or fewer contractions in a 10 minute period~English or Spanish speaking patient~Exclusion Criteria:~Non-reassuring fetal heart rate tracing at time of enrollment~Meconium stained amniotic fluid~Previous uterine incision~Maternal fever (defined as greater than 37.9 C)~Known fetal anomalies~Placenta previa or unexplained vaginal bleeding~Estimated fetal weight of 4,500 grams or more~Abnormal maternal bony pelvis~Grandmultiparity"
"256","NCT00346840_Controlled-Release Misoprostol Vaginal Insert in Parous Women for Labor Induction: Randomized Trial_The primary objective of the study was assessment of the efficacy of four dose reservoirs (25 mcg, 50 mcg, 100 mcg, 200 mcg) of intravaginal controlled release misoprostol administered for up to 24 hours. Efficacy was measured in terms of time from insert placement to vaginal delivery._Female_18 Years_N/A_Conditions:  labor induction~cervical ripening_Inclusion Criteria:~At term (37 to 42 weeks inclusive gestation).~Aged 18 years or older.~One previous full term delivery (at least 37 weeks gestation).~Singleton pregnancy.~Cephalic presentation (normal lie).~Bishop score more than 6 as determined by MBS criteria.~Uncomplicated pregnancy as judged by the physician.~Written informed consent.~Exclusion Criteria:~four previous full term deliveries.~Previous uterine surgery, including C-section and surgery to the cervix of the uterus (cone biopsy of the cervix is permitted).~In spontaneous labour.~Administration of oxytocin or a tocolytic drug or any other cervical ripening or labour inducing agent prior to enrolment (within seven days of enrolment).~Suspected cephalo-pelvic disproportion.~Evidence or suggestion of fetal distress.~Subject has received NSAID (including aspirin) within four hours of study treatment (topical is permitted).~Pyrexia (oral or aural temperature > 37.5C).~Unexplained genital bleeding during this pregnancy after 24 weeks.~Current pelvic inflammatory disease, unless adequate prior treatment has been instituted.~Placenta praevia.~Known or suspected allergy to misoprostol or other prostaglandins.~Prior serious adverse event related to prostaglandin administered by any route for any indication.~Subject unable to comply with the requirements of the protocol."
"257","NCT00093938_Cranberry for Prevention of Bacteriuria in Pregnancy_The purpose of this study is to determine the amount of cranberry juice that is most effective in preventing a condition in pregnant women that often leads to urinary tract infections (UTIs)._Female_18 Years_N/A_Conditions:  urinary tract infection~bacteriuria_Inclusion Criteria:~Intrauterine pregnancy~Mother and fetus in good health~Mother pregnant for 16 weeks or less~Exclusion Criteria:~Suspected nonviable or ectopic pregnancy~Mother plans to terminate pregnancy~Antimicrobial therapy, for reasons other than urinary tract infections, within 2 weeks prior to study start~Significant underlying medical complications that may interfere with the study"
"258","NCT00610688_High Prevalence of Rickets and Subclinical Maternal and Childhood Vitamin D Deficiency in the Middle East: a Randomized Controlled Trial of Prenatal Vitamin D Supplementation to Prevent Vitamin D Deficiency in Mothers and Their Infants_The purpose of this research study is to compare the effects of higher dose vitamin D with commonly recommended dose in pregnant women to see which is better in achieving and/or maintaining sufficient vitamin D blood levels during pregnancy and in newborn infants as well as improving growth in the infant._Female_18 Years_45 Years_Conditions:  vitamin d deficiency_Inclusion Criteria:~Women who are within the ages of 18-45 years~In good general health~12 weeks pregnant (based on last menstrual period)~Exclusion Criteria:~Mothers with preexisting type I or type II diabetes~Mothers with preexisting hypertension~Mothers with preexisting parathyroid disease or uncontrolled thyroid disease~Mothers with multiple fetuses (e.g., twins, triplets, etc.)"
"259","NCT01585129_Treatment Utility of Postpartum Antibiotics in Chorioamnionitis_To determine if prophylactic postpartum antibiotics are required post-cesarean delivery for pregnancies with treated chorioamnionitis._Female_14 Years_50 Years_Conditions:  the primary outcome of this study will be the rate of endometritis_Inclusion Criteria:~Clinical diagnosis of chorioamnionitis~Undergoing cesarean section for delivery~Exclusion Criteria:~Multiple gestations,~Allergy to beta-lactam antibiotics~Patients with estimated creatinine clearance (ClCr) less than 70 mL/min~Maternal fever explained by etiology other than chorioamnionitis~Inability to comply with the study protocol."
"260","NCT03604341_Cannabinoid Analgesia for Medical Abortion: A Randomized Controlled Trial_The objective of this study is to determine if a synthetic cannabis derivative, dronabinol, in addition to ibuprofen, decreases maximum pain scores compared to ibuprofen and placebo in women undergoing medical abortion. Results of this study will help providers counsel patients regarding cannabis use during medical abortion._Female_21 Years_89 Years_Conditions:  medical abortion~pain_Inclusion Criteria:~Aged 21 years or older~Consented for elective medical abortion~Pregnancy with intrauterine gestational sac up to 10 0/7 weeks, dated by ultrasound~Able and willing to receive text messages via phone~English speaking~Able and willing to give informed consent and agree to the study terms~Have assistance at home; no motor vehicle use while taking study medications~Exclusion Criteria:~Desires to continue pregnancy or currently breastfeeding~Lack of access to cell phone and texting capabilities~Prior participation in this study~Early pregnancy failure~Contraindications to the study medications: Marinol or marijuana derivatives, sesame oil, Ibuprofen~Contraindications to medical abortion with Mifepristone or Misoprostol~History of methadone, buprenorphine or heroin use within the last year~History of a seizure disorder~Used marijuana 5 or more days in the last week~History of any adverse effects associated with prior use of recreational or medical marijuana products, or sensitivity/allergy to Marinol."
"261","NCT00641784_A Randomized Trial of Oral Nifedipine Versus Intravenous Magnesium Sulfate in the Acute Management of Preterm Labor in Women With Singleton Gestations, Intact Fetal Membranes, and Positive Vaginal Fetal Fibronectin_In women with singleton gestations, to contemporarily assess the efficacy of oral nifedipine versus intravenous magnesium sulfate in the acute management of preterm labor in terms of defined early and late neonatal measures_Female_18 Years_55 Years_Conditions:  labor, premature_Inclusion Criteria:~Patients between 240/7-320/7 weeks gestation with findings consistent with preterm labor defined by at least one of the following criteria in accordance with regular uterine contractions (>4 uterine contractions in 20 minutes):~Cervix > 2 cm in dilation or 80% effaced~Positive fetal fibronectin (if performed).~Demonstrated cervical change between two exams within 90 minutes.~Exclusion Criteria:~Negative fetal fibronectin~> 5cm dilatation~Multiple gestations~Known fetal anomalies or chromosomal abnormalities~Ruptured membranes~Significant vaginal bleeding~Suspected chorioamnionitis~Preeclampsia or uncontrolled hypertension~Non-reassuring fetal heart tracing~Placenta previa and/or accreta~Placenta abruption~Intrauterine growth restriction~Maternal renal disease~Underlying maternal cardiac condition~Symptomatic hyperthyroidism~Significant maternal disease~Contraindication to nifedipine or magnesium~Cerclage presence~Tocolytic use within the last 12 hours~Hypotension (defined as average blood pressure of <70/40's unresponsive to 1000 cc fluid bolus"
"262","NCT00099164_A Randomized Trial of 17 Alpha-Hydroxyprogesterone Caproate for Prevention of Preterm Birth in Multifetal Gestation (STTARS)_Women pregnant with twins or triplets are at high risk of preterm birth, yet no intervention or approach has served to reduce this risk. A recently completed trial by the NICHD sponsored Maternal Fetal Medicine Units (MFMU) Network has, for the first time, demonstrated a treatment that substantially reduces the rate of preterm birth in women at high risk for preterm delivery (i.e. progesterone therapy). Preterm birth was reduced by 35% among progesterone-treated women with a singleton pregnancy when compared with women receiving placebo. The current trial compares weekly treatment by injection of progesterone with placebo in women pregnant with twins or triplets._Female_N/A_N/A_Conditions:  preterm birth~pregnancy~multifetal_Inclusion Criteria:~Twin or triplet pregnancy. Quadruplets reduced to triplets may be included, but no other prior reductions.~Gestational age between 16 weeks 0 days to 20 weeks 6 days based on clinical information and evaluation of the first ultrasound.~Signed patient authorization and consent form.~Exclusion Criteria:~Prior elective fetal reduction in the current pregnancy, except in the case of a quadruplet gestation reduced to triplets.~Planned fetal reduction or planned termination~Monoamniotic gestation~Twin-twin transfusion syndrome~Fetal death or imminent fetal demise~Major fetal anomaly (e.g., gastroschisis, spina bifida, serious karyotypic abnormalities). An ultrasound examination from 12 weeks 0 days to 20 weeks 6 days by project estimated date of confinement (EDC) must be performed to rule out fetal anomalies~Discordance in fetal size, defined as a discrepancy of 3 or more weeks in gestational age by ultrasound between the largest and the smallest fetus. Diagnosis is based on measurements made at the ultrasound done between 12 weeks 0 days and 20 weeks 6 days gestation~Progesterone treatment used or planned after 14 weeks gestation~Heparin therapy at a dose ≥ 10,000 units per day of unfractionated heparin, or any low molecular weight heparin during the current pregnancy, or thromboembolic disease for which such heparin treatment is planned (because of contraindication to intra-muscular injections)~Current or planned cervical cerclage~Uterine anomaly (uterine didelphys, bicornate uterus)~Contraindication to intra-muscular injections~Maternal medical conditions, such as: known idiopathic thrombocytopenia purpura (ITP) or a known platelet count less than 100,000 per cubic millimeter (because of contraindication to intra-muscular injections), hypertension requiring medication, diabetes managed with insulin or oral hypoglycemic agents~Inability to arrange a pre-randomization ultrasound between 12 weeks 0 days and 20 weeks 6 days gestation~Participation in another interventional study that influences gestational age at delivery or neonatal morbidity or mortality~Prenatal follow-up or delivery planned elsewhere (unless the study visits can be made as scheduled and complete outcome information can be obtained)~Participation in this trial in a previous pregnancy."
"263","NCT00133029_NA_The purpose of this study is to determine whether the timing of prophylactic antibiotic administration for cesarean section (immediate preoperative versus intraoperative administration) impacts the rate of postoperative febrile morbidity. The specific aim of the project is to test the hypothesis that preoperative antibiotic administration will decrease the rate of composite postoperative febrile morbidity._Female_N/A_N/A_Conditions:  cesarean section_Inclusion Criteria:~Gestational age > 36 weeks~Ability to understand requirements of the study~Elective/non-emergent cesarean section selected as route of delivery by treating physicians~Exclusion Criteria:~Known fetal anomaly~Exposure to antibiotics within 7 days of admission, including intrapartum group B streptococcal (GBS) prophylaxis~Emergent cesarean delivery (i.e. for fetal distress, maternal distress, obstetric hemorrhage)~Overt maternal intrapartum infection requiring antibiotics~Prolonged rupture of membranes (>18 hours)"
"264","NCT02755090_Nitrous Oxide Versus Intravenous Sedation for Anesthesia_This study is a multi-site, double-blinded, randomized, non-inferiority clinical trial of inhaled nitrous oxide with oxygen (N2O/O2) versus intravenous (IV) sedation, with fentanyl and midazolam, for pain management in adult women having a pregnancy termination procedure between 12 and 16 weeks gestational age._Female_18 Years_N/A_Conditions:  pregnancy termination in second trimester_Inclusion Criteria:~18 years old or older~pregnancy termination at gestational age of 12-16 weeks~able to read and understand either English or Spanish~able to obtain reliable post-procedure transportation~Exclusion Criteria:~contraindications to outpatient pregnancy termination~contraindications to nitrous oxide use (such as pernicious anemia, current treatment with bleomycin chemotherapy, active upper respiratory illness, or COPD)~intrauterine fetal demise~chronic narcotic use~known adverse reaction to nitrous oxide, Fentanyl, or Versed"
"265","NCT00144183_An Open-label Study Evaluating the Resistance Profile of Single Dose Nevirapine(NVP) When Combined With a 4 or 7 Day Course of Combivir® (ZDV/3TC) Compared to Single Dose Nevirapine for the Prevention of Mother to Child Transmission (pMTCT) of HIV - Treatment Options Preservation Study (T.O.P.S.)_To determine whether a regimen of single dose nevirapine combined with either 4 or 7 days of Combivir®, compared to a regimen of single dose nevirapine, for the prevention of mother to child transmission can reduce the rate of development of drug resistant mutations of HIV-1, in HIV-1 infected pregnant women, who have not received antiretroviral therapy previously._Female_18 Years_N/A_Conditions:  acquired immunodeficiency syndrome_Inclusion Criteria:~Pregnant women identified at antenatal clinics after from 34 weeks gestation and who are antiretroviral drug naive.~Mothers with a documented positive HIV Rapid test confirmed by a detectable HI V-1 RNA PCR (viral load).~Mother to have a screening viral load of > 2000 RNA copies/mL.~Exclusion Criteria:~Mothers who, in the opinion of the investigator ,cannot be relied on to return with their infants for postnatal visits.~Mothers who have received any antiretroviral drugs previously.~Clinical suspicion of intra-uterine foetal death~Unwillingness or inability to reasonably comply with the protocol requirements.~Use of any other investigational product during the pregnancy and for the dura tion of the study period.~Patients with a recent history of pancreatitis or peripheral neuropathy.~Patients with renal failure requiring dialysis.~Patients with evidence of hepatic dysfunction as measured by total bilirubin > 2.5 times ULN or AST/ALT > 5 times ULN at the screening visit.~Patients with any one of the following additional laboratory abnormalities at screening : Haemoglobin concentration < 7.5 g/dl. Neutrophil count < 750 cells/mm3. Platelet count < 75,000 cells/mm3. Serum amylase > 2 x ULN.~recent history ( during the pregnancy) of drug abuse or alcoholism.~Mothers who will undergo elective caesarean section.~If known prior to delivery, mothers with foetuses with anomalies incompatible with life."
"266","NCT04594070_A Randomized Trial of Intermittent Oral Iron Supplementation vs. Daily Oral Iron Supplementation for the Treatment of Anemia in Pregnancy_The target population for our study is pregnant women in the first or second trimester with a diagnosis of iron deficiency anemia. If a subject is eligible, written consent will be obtained by person to person contact. Eligible participants will be randomized to receive either daily oral iron supplementation or every other day oral iron supplementation._Female_18 Years_50 Years_Conditions:  pregnancy related~iron deficiency anemia of pregnancy_Inclusion Criteria:~Hemoglobin less than 11 g/dl in the first trimester or less than 10.5 g/dl in the second trimester~Microcytic anemia~Singleton gestation in the first or second trimester~Exclusion Criteria:~Malabsorptive disorder or history of restrictive or malabsorptive gastric surgery~Known diagnosis of anemia other than iron deficiency (thalassemia, macrocytic, sickle cell, etc.)~History of cardiopulmonary disease~Severe anemia requiring parental infusion or transfusion of blood products"
"267","NCT03806231_A Trial of Cervidil (Dinoprostone, Prostaglandin E2 (PGE2), Insert) for Outpatient Pre-induction of Cervical Ripening in Women at 39.0-41.6 Weeks Gestation_Induction of labor is a frequently planned obstetric procedure. Induction for women with an unfavorable cervix (bishop score <6) increases the risk of cesarean section. This risk may be reduced by ripening or softening the cervix before the induction of labor. This protocol outlines a randomized trial of 200 women evaluating the placement and use of Cervidil to the post vaginal fornix to soften the cervix in preparation for induction.~This trial is looking at inpatient vs outpatient pre-induction cervical ripening using Cervidil and the effects on (1) maternal and newborn outcomes including time of admission to delivery, (2) system healthcare cost, (3) cost to patient, and (4) patient satisfaction.~The investigators hypothesize when compared to patients admitted to the hospital for cervical ripening:~From the time of admission, patients in the outpatient cervical ripening arm will progress to complete cervical dilation in less time.~The total overall cost of care for the encounter will be reduced for the group in the outpatient cervical ripening arm.~Patients in the outpatient cervical ripening arm will have more overall satisfaction._Female_18 Years_41 Years_Conditions:  induction of labor affected fetus / newborn_Inclusion Criteria:~Accurate gestational age dating by Intermountain dating criteria placing the patient between 39 0/7 and 41 6/7 weeks gestational at time of cervical ripening~Planning to undergo cervical ripening for induction of labor~Participants must live <20 minutes away from the enrolling facility, or must stay < 20 minutes away.~Pregnant women between the ages of 18 and 41 at the time of enrollment.~Fetus in vertex position~Exclusion Criteria:~Gestational age < 39 weeks or > 41 weeks and 6 days~Hypertension (chronic, transitional, gestational, preeclampsia)~Multiple gestation~Intrauterine Growth Restriction~Anticoagulant therapy or at high risk for thromboembolism~Cardiac disease other than class I per American Heart Association (AHA)~Prior incision in the contractile portion of the uterus~Placenta previa~Oligohydramnios per American College of Obstetricians and Gynecologists (ACOG) criteria: AFI < 5 or deepest vertical pocket <= 2~Polyhydramnios per ACOG criteria: Amniotic Fluid Index (AFI) >= 24~Cervical dilation >= 3cm~Known fetal anomaly that would require advanced neonatal care~Pitocin-induction of labor is otherwise contraindicated~Patient is receiving other uterotonics (e.g. oxytocin, Cytotec, etc.)~Fetal distress~Unexplained vaginal bleeding during the pregnancy~Sensitivity to prostaglandin~Evidence of or suspicion of marked cephalo-pelvic disproportion (per the Cervidil package insert revision 02/2016, Ferring Pharmaceuticals Inc. Parsippany, NJ)"
"268","NCT00115271_Maternal Micronutrient Supplementation to Reduce Low Birth Weight and Infant and Maternal Morbidity in Rural Nepal_The purpose of this study was to determine the effects of providing supplements containing alternative combinations of micronutrients during pregnancy on birth weight and other infant and maternal health and nutritional outcomes in a rural area of Nepal._Female_15 Years_45 Years_Conditions:  low birth weight~infant mortality~pregnancy~nutritional status_Inclusion Criteria:~Married women of reproductive age identified as a new pregnancy using a urine test~Exclusion Criteria:~Menopausal or sterilized woman or currently already pregnant or breastfeeding an infant <9 months of age"
